discussion_title,discussion_link,discussion
Rash or Acne? Please help! ,https://patient.info/forums/discuss/rash-or-acne-please-help--737600,can someone help?! I've had bumps like this off and on for a couple months now and I'm not sure if I am having an allergic reaction to something or if I'm starting to get acne. Any advice is appreciated!
What kind of acne could this be?,https://patient.info/forums/discuss/what-kind-of-acne-could-this-be--736232,"I started getting acne since the age of 14 (I'm 20 now). sometimes it is severe and sometimes it clears out completely. from the past 2 weeks i'm having severe acne. it is big, painful and red. I don't know what type of acne this is. can someone tell me what i should do to clear this."
"Breaking out bad, maybe trying colgate and vaseline",https://patient.info/forums/discuss/breaking-out-bad-maybe-trying-colgate-and-vaseline-735769,"So i've been breaking out badly lately. I want to try some home remedies, i saw that using colgate and vaseline could help. Has anyone tried this? If so, how did it work for you?"
"Red skin and pimples, rosacea or acne, or some combination?",https://patient.info/forums/discuss/red-skin-and-pimples-rosacea-or-acne-or-some-combination--732853,"16 year old kid, about 3 years ago he was given some prescribed acne meds by his doctor. Now, he has very red cheeks, it looks like he's constantly blushing, and generally red skin on his chin and between his eyebrows. Along with that, he tends to get pimples (some blackheads, some inflamed whiteheads) on his chin, in the same general area as the redness on his chin. The acne meds don't seem to be helping too much, it's just a twice daily face wash and clindamycin phosphate topical lotion. Haven't been to the doctor's recently, not sure if I even want to take him with all that's going on. He's never had acne on his cheeks where that red is, yet nothing seems to help. Wondering whether anyone might have any ideas as to if the acne meds could be worsening the redness if it is rosacea, or if something stronger is needed if it's acne. Thanks for any help!"
Acne Problems,https://patient.info/forums/discuss/acne-problems-734654,Been breaking out a lot due to this lockdown. Anyone have any at-home remedies that i can try?
Acne and rosacea,https://patient.info/forums/discuss/acne-and-rosacea-733598,"I'm 31 years old. I have been struggling acne and rosacea for years. i tried many kinds of medicines but they didn't work so i gave up on medicine. right now i am, only at times, using a tropical one, so i still have acne every now and then. but my biggest concern in rosacea, i have it all the times for at least 10 years. Is there someone can help me with this?"
Alternative treatments to Isotretinoin?,https://patient.info/forums/discuss/alternative-treatments-to-isotretinoin--733305,"Maybe I am being too hopeful here but I would like to know if there are other treatments for Acne which is nodular and cystic/boils, other than Isotretinoin and all its variant names.I've been given 10mg starting dose of the drug by my Dermatologist a few weeks ago but I haven't taken it mostly because I worry about the side effects. I will be having a consultation soon with them on the phone and wonder how to explain to them why I haven't taken it so they will understand.I've been through a difficult time right now being stressed often with low mood, and been more anxious since the current events. And I thought taking this particular drug at this time would be a extra weight on my shoulders monitoring for side effects and I have dry skin already from eczema so taking this drug has been such a dilemma for me.I've suffered from bad acne suddenly since August last year. It is localised mostly on my face and cheeks but particularly bad on my neck and I've got scars from it. I took Lymecycline for a few months but it made no difference, the same with an over-the-counter cream.I get consistent whiteheads forming in different locations on my face but the worst are the nodular ones which turn into boils on my neck and these are quite common..I know I've been offered a treatment plan for it but as mentioned I am reluctant because of the side effects and my family think I should try everything before taking it.Are there other prescriptions such as topical Retinoids that could help, without serious potential side effects like Crohn's disease? What other treatments help? I've consumed dairy products for many years without bad acne and eaten the same foods for many months so it isn't likely to be dietary. Or maybe it is more stress or hormone related. What should I say to my Dermatologist? He says things like the topical solutions won't help without explanation."
My Isotretinoin (Roacccutane) treatment has been interrupted by lockdown,https://patient.info/forums/discuss/my-isotretinoin-roacccutane-treatment-has-been-interrupted-by-lockdown-733005,"I have been taking Isotretinoin (Roacccutane) for forty-four days now. I was first prescribed this medication on the 25th February, two months after my initial appointment with the dermatologist. So far, I have seen an improvement in my acne. My skin and scalp are very dry. There has been no change in my mood and I don't think I have any other side effects from taking it. Acne has affected my life for so long and I was happy that I was finally starting to see a change!The dermatologist was very reluctant to prescribe me the medication as the results of my initial blood test revealed I had high cholesterol. Never the less, I was initially prescribed Isotretinoin for 30 days (but was given 56 capsules) and would need a monthly review. I was due a second blood test on the 16th March and a follow up appointment on the 27th March, however due to coronavirus those appointments were cancelled and since then I have had radio silence from the dermatologist. With total appreciation and understanding of how busy everybody at the NHS is right now, I must admit that I do feel as if I have fallen through the net.Due to how serious this drug is I was told that I would need to be monitored on a monthly basis. That I would have been prescribed more medication depending on the results of my blood tests and how well I was reacting to the treatment. The dermatologist herself listed a whole bunch of scary side effects and I had to sign form to acknowledge this. So with that, I wonder how a patient taking a drug that is labelled with such adverse side effects can just be put aside and forgotten about. I have waited a long time to get this medication and it's also disappointing that the journey is about to come to an abrupt end just as I was starting to see results!I was just curious to know if anybody else has found themselves in this situation?"
Acne and it’s effects.,https://patient.info/forums/discuss/acne-and-it-s-effects--731817,"I suffer acne for years and along with it i also suffer constantly from anxiety and depression.now i still have acne, even though i have tried many kinds of medicine including Isotretinoina, i'm depressed every time i look at my wrecked face. i got a lot of scars on my nose... "
"Isotretinoin (Roacccutane) side affects, are these normal?",https://patient.info/forums/discuss/isotretinoin-roacccutane-side-affects-are-these-normal--715320,"I am 2.5 weeks into my isotretinoin course (20mg daily), and have developed a weird rash on my hand. There are some other small patches on upper arms and shoulders too. Is this normal? What should I do to treat this? I have been using a small amount of 1% hydrocortisone on the patches and seems to be helping slightly. Is this safe and/or a good treatment? Cheers"
