"label","discussion_title","discussion"
"Angina","Heart squeeze pain lasts 1 second ","Hi, all: I'm hoping for some answers or anyone thats experiencing the same.I'm a 32 year old female. with a history of heart palpitations, PVS etc. these crazy beats would ruin my days, till i got reassured they will not kill me. the last time my palpitations episodes got bad, i was prescribed 25mg of Metoprolol. (beta blocker) about 5 months ago. this seemed to help the beats a little: Reason that I am writing in the angina forum: is because about two months ago I started getting a quick squeezing feeling in my heart that lasts about 1 to 2 seconds.sometimes I will be at rest, last time I noticed it after a heavy work out, but no pain during working out. I exercise about four days a week and ride my stationary bike, cardio, light weight lifting. No dizziness accompanying the squeeze. i have had echos done, holter and blood tests all came back ok. but the sqeezing pain is new. could the beta blocker cause this? it feels like someone has a hold of my heart and is giving it a squeeze for one second. otherwise, no out of breath or dizzy feeling. im so worried i will drop dead."
"Angina","Is this cardiac?","Symptoms:*left to middle achey chest pain with activity (right where the hand would go to pledge allegiance to the flag and to the middle) - intensity changes with movement of arms or torso and eating (oddly enough)...which i don't notice until i'm at rest*Noticed a little pain yesterday in my back in the same area as the front- pain is not increased when intensity of activity increases- in other words, running or walking ...pain is the same - actually...pain went away on a brisk walk last week*Soreness that lasts for an hour or more at rest, bit goes away when laying in bed at night...with the exception of some discomfort when rolling over in bed*tenderness when I press on sternum and mid chest ...the acheyness lingers after I have pressed on it*Difficulty getting to the top of a deep breath ...feels tight...especially with activity*Occasional left breast painwhen i do get to the top of my breath ...there are popping feelings in my ribs...front and backthere is a slight increase in pain with deep breaths, but that is not constant and its definitely not excruciating by any means*i have lots of belching, throat/chest burning, and gas...but i have GERD, so i think thats separate.Tests:ECG-normalchest x-ray- normalcardiac enzymes-normalCan anyone shed light on whether this sounds like cardiac or something else? Ive been looking at other possibilities like costochondritis, as well. Hoping to have a stress test next week to continue ruling out cardiac issues."
"Angina","Chest Tightness after smoking weed","24, female.. I smoke occassionally. Never had this problem at first, but lately it's been a problem. I would get long lasting chest tightness after smoking weed. Sometimes a small headache. Sometimes I would feel something on my left shoulder/arm, and neck too.The thing is, I've had plenty of heart tests in the past. Lots of ekgs, holter monitors, stress-echos and just echos. All clear. But why the chest tightness? I'm really wondering is anyone Has anyone experienced this before and what happened?"
"Angina","Heart attack possible at 26?","Hello everyone,I'm hoping you can help me.For about 2 weeks, I have had the feeling of angina almost daily. It's usually when I do anything that requires even minimal effort, such as walking for 5 minutes. Once the feeling shows up it can last for quite some time.I'm 26, female, never smoked cigarettes, thin (about 105 pounds) and I try to eat healthy although I do some unhealthy snacking here and there. My only risk factor is that I'm quite sedentary. I haven't exercised in years.As of right now, the only diagnosis I have is SVT, which I get horrible episodes of, maybe a few times per year.The feeling I get isn't really painful, it's more of a heaviness like something is on my chest compressing it. I also get this uncomfortable pressure in my back and down my left arm along with getting sweaty, nauseous and dizzy quite frequently.I went to the emergency room with this feeling twice this month.The first time they said my ekg and blood test is perfect, and sent me home with ""anxiety"". The second time I watched my ekg print out and at the top it said ""possible minor ischemia."" I questioned the doctor about it and he said ""the ekg isn't always right and there is nothing wrong with my heart."" Again I was sent home and told to follow up with my GP.I live in constant fear that I'm gonna just drop dead. The chest pressure and dizziness makes me so worried I've been missing work and confined to my house. It seems doctors are not taking me seriously because I'm young and don't have the risk factors, but certainly there has to be something causing these symptoms...I have had horrible palpitations for years but this type of recurrent chest pain is new to me.Any advice would be greatly appreciated."
"Angina","Microvascular Angina","I have been diagnosed with Micro vascular Angina and I know it has been coming on for about 10 years but it took a while to find a doctor who agreed that was what it is.I have chest pains every time I go outside to do a little work and anytime I exert my upper body too much. I also get out of breath and feel like I have just run a mile.I had a heart catheterization twice, about 3 years ago and just this February. They are always clear and normal.I have a lot of pain and discomfort but just have to deal with it. The meds that are used for this all cause my blood pressure to go down dangerously and make me feel like I will faint if I get up. I just came here to see what others have to say about this condition and find out as much as I can about what if anything can be done."
"Angina","They can't find anything, but it's getting worse.","Hi, my name is Alex, 28 years old, Male. I am 175cm tall and weigh 57kgIn 2014 i began to feel my heart pumping even in rest.(60bpm)Now in 2020 i have problems even with light physical activities like stairs or walk in the park.I feel shortness on breath, chest pain, plapitations and fatigue.On the other hand the doctors can't find any evidence in:Coronary angiogram(never had high blood pressure or cholesterol)ElectrocardiogramEchocardiogram(only small mitral valve prolapse)24H Electrocardiogram(a couple of extrasystoles)According to the doctors i should be in perfect condition.But this is not the truth.Is it possible to have some kind of heart failure?Any opinion will be helpfull.Thank you in advance..."
"Angina","I always feel like I'm having a heart attack","I'm 33yrs old and I feel like I'm having a heart attack almost daily. I've had anxiety for about 10 yrs now and was told once in the ER that I have angina(not sure how they came to that since all they did at that time was an ekg,but ok).I have had numerous ekgs done,chest ct scan,cardiac blood work and wore an event monitor for a week,(had an echo done about 10yrs ago,but that was 10yrs ago so..). I was told I had some bouts of tachycardia,but it was in normal sinus rhythm and that everything looks good nothing to worry about. I dont get chest pain often,but i do get discomfort in my chest(mainly in my sternum area),left arm and shoulder pain,jaw pain,neck pain and upper back discomfort. My blood pressure is great in the low normal range,heart rate is usually 75,80 while resting,cholesterol is pretty good...It's interfering with my everyday life and I hate it. Everyone tells me I'm a hypochondriac and I dont disagree,but I am genuinely terrified that I'm going to have a heart attack and I cant help it. Any advice on what to do or how to not freak out?"
"Angina","IS EDEMA A SIDE EFFECT OF ANGINA?","Hi, I'm Ricardo and I'm a student at the Universidad del Valle de México and I'm studying medicine. I would like to know if edema is a side effect of angina and also because that edema appears.I read an article about that but I did not understand, I would like someone to help me, please. it's for a homework."
"Angina","Cholesterol and Angina.","Hello everyone!I'm a 35 year old male, and recently my doc said my cholesterol is high. 252 to be exact.Lately ive experienced angina and wonder if its a complication of this.I am exercising and eating a low carb, vegetarian diet since i got the news.My doctor did a sonogram of my heart last year and it was fine.Is high cholesterol reversible/curable?Is my chest pain a symptom of it or could it be something worse like coronary artery disease?Thank you!"
"Angina","Anxiety or Angina?","What does angina pain feel like?I swear I have some form of Angina, but my doctors gave me an EKG, stress test, all came back okay. I do suffer from Hypermania and PTSDBut everyday I have chest pain and these weird random sharp pains all over my upper body and arms."
