label,discussion_title,discussion
Arthritis,Worse after prp.and stem cells in shoulder,Had partial left shoulder tear. It no longer hurt and I was able to do some things but not what I had been doing. Doctor suggested stem cells and prp. Had it a month ago and am I constant pain and it is worse than when I first injured shoulder. Could procedure have made it worse permanently? Very discouraged. 
Arthritis,Facet joint arthritis,Hi all. I have just been diagnosed with facet joint arthritis. Does anyone else on this forum suffer with it?
Arthritis,bone or muscles,"Hithis arthritis is it a bone problem or muscle problem . could taking magnesium ,k2, boron. or just d3 vitamin , or a creatine supplement help . is fibromyalgia the same thing as arthritis . or are they they all the same illness .plus don't fancy taking k2 in the form of fermented soy beans . would a Calcium channel blocker work as good as k2 . say amlodipine 10mg."
Arthritis,"Too much joint pain, Any good home remedies for relief?",I have been through a lot this past year and have to work a lot in order to get my life back. Experiencing Joint pains now from past week. are there some good home remedies for joint pain.
Arthritis,Hip replacements. ,I've been offered a hip replacement. Just trying to decide if I should take it or not.I'm 62.There seems to be lots of pros. Does anyone have any knowledge of any cons?
Arthritis,Spinal Stenosis ,"Hijust been told i have spinal stenosis and a bulging 5th disc, i don't see a doctor for two weeks to discuss the options.i am taking 15 pain killers a day and when its really pain full i take Morphine.Has anyone any information on stenosis and what the options are.i would be great full for any help and advice.take careTom"
Arthritis,Arthritis of the fingers ,"Hi just a quick questionI have Arthritis of the fingers these look like small lumps at the end of my fingers, over the last couple of months i have small lumps developing on the palms of my hands does anyone know if this is related to arthritis please .appreciate any helptake careTom"
Arthritis,Joint pain,"i have been suffering from joint pain for the last 9 months now or nearly. it started as my thigh felt numb like it feel to sleep while i was sat down and then a about a month later i has this aching pain in my big toe which felt like i broke it. and then from there its been pretty much everywhere and nowhere. one minute its in my knee then my finger or wrist and the next i'm fine. first the doctors thought lymes disease or gout. both tests came back ok. then they sent me to the hospital as maybe arthritis and they apparently said no its not or is unlikely as no swelling or redness at all ever. been tested for the gene of spondylitis and came back negative, haven't spoken to doctor on whats next yet.the pain is agonising some times and thats mainly in my knee but it is literally all over and feels like its cotton wool if that makes sense.i aslo have coeliacs disease which i was diagnosed with last june (2018).im worried its something that is been looked over that is also a progressive disease or something"
Arthritis,Multiple Joints Pain - Doctors can't figure out cause! ,"Hello!I am 21 years old and for about the past 5 years I have suffered from joint pains.The pain has progressively been getting worse over time. The joints that are affected are in my hips/pelvis, knees, ankles, wrists, shoulders and lower back. I have been to the doctors many times with no luck! They have given me blood tests, MRI scans of my hips, physical therapy and put me on cocodamol painkillers. So far they have ruled out many potential causes e.g rheumatoid arthritis, ankylosing spondylitis, lupus, bursitis, tendinitis and have said that it is not due to any inflammatory problems.Here are some of my symptoms:Joint pain in all joints but is not warm or swollenPain is an ache not sharp painsNo pain when sleeping unless lying on joint e.g hip jointHurts when sitting down in the same position for long periods of timePain persists until pressure is off of the joint (e.g sit down, stop carrying something)Chest Pain and shortness of breath occasionallyJoints only hurt when moving, lying on them or applying pressure to themHeadaches with eye pain occasionally (maybe stress related?)Joint pain is gradually getting worse over time (started about 5 years ago)Joints hurt when proddedCold makes pain worseHeat makes back pain better (heat pack when on period)Joints crack/grate and hurt afterwards (might be double jointed?)The joint pain comes from inside the joint not the whole/around the jointCannot sit crossed legged/kneel/squat/swim without painAny ideas or related stories are welcome!Thank you,E."
Arthritis,Health issues during LOCKDOWN,"My mental health has survived reasonably wellMy physical health has deteriorated considerablySpecifically - My right knee and right hip have caused sleepless nightsI had my left knee, replaced - 4 years ago - but, at the time - my right knee was fineIt is now showing similar signs as the left knee didMy left hand as well - I fell heavily in October 2019 and believe that I may have damaged the little finger joint - it is still painfulBut I am unable to do anything until the lockdown is over !"
Arthritis,I suppose it’s arthritis ,The first finger on my left hand is showing the sign of arthritis a bit deformed but I am experiencing moments of extreme stabs of pain. i can only describe it as a hot needle stabbing and then s burning pain. It comes without warning and the settles down for a few hours. my worry is that it will affect the fingers and thumb of both hands eventually and wonder if anyone can offer any assistance as to how i can stop this painful condition and if this is the way arthritis progresses.
Arthritis,Constant Joint Pain and Cracking,"I have had this issue for a few years now (I am 19), and if anything it's getting worse.My Fingers, wrist, elbow, shoulders, neck, jaw and sometimes knees. Are always in a lot of discomfort. I feel the need to constantly crack all of them, like 1-3 every 10 minutes. They feel really tense if I don't.The more I use the joints the worse the feeling gets. My whole body cracks and grinds with any movement.Is this any concern, what can I do to prevent this from happening, it's destroying quality of life."
Arthritis,Feeling wrist pain getting worse and worse as a 22 years old.,"Over the past 4 years my right wrist has needed 2 surgeries as I hurt it bad playing sport. This meant while it was healing I put a lot of pressure on my left hand to complete most tasks.I play a fair bit of video games and my bar work requires me to use my hands a lot.Over the past few months my left wrist has started becoming really sore after work, gaming, weight lifting ect. I have no idea if its early signs of arthritis or carpel tunnel but I would like to know what exercises, certain foods I can eat or other ways I can slow down the process of me actually getting either of these medical conditions.Thanks."
Arthritis,Supplements ,can anyone recommend any supplements for osteoarthiritis please
Arthritis,Arthritis,"Hello, Back in August this year (2019 I was diagnosed with Cervical Spondylosis.MyC5-6 discs are worn....wear and tear from age. I now think I have more goingon as I wake up with painful neck, shoulder, arms, legs, knees, hips and buttocks.The pain is awful. I've recently had a blood test to check my inflammatory markers(CRP) and really hope I don't get diagnosed with Polymyalgia Rheumatica as thereis a risk of getting Giant Cell Arteritis with this condition and if not treated swiftlywith Prednisone steroid tablets there is a risk of blindness.Is there anyone that suffers the same?Thank youAnne"
Arthritis,Thumb Joint Artificial Replacement,Hi allI would love to hear from anyone who has had a thumb joint replaced. I've hopefully attached a picture of the same replacement I had done a couple of years ago. It's like a mini hip joint.Many thanks
Arthritis,Some form of arthritis,"don't get me wrong I'm happy someone is finally taking me seriously and not looking at me as an age(I'm 29) yes there only looking into my hands atmo but it's finely a good start after 16years of arguing over all the pain im always in . I've got an x-ray coming up up on the 7th of Jan as I've got bone growth on my finger joints And I'm struggling to hold things ie unable to use a knife and fork properly due to the pain and stiffness, both my parents have this and been told its osteoarthritis what's the chances I could also have this? And is there anything I can do in mean time to help make things easier or lessen the pain I'm on alot of meditations for my hips/knees/wrists And back but doesn't help with the pain in my fingers."
Arthritis,Achy bone for a month after a sexual encounter,"im 30 years old, been having achy bone a week after a sexual encounter.i have many other weird symptoms but achy bone is the most lasting ones. it started off with bone feeling achy throughout my body. the kind of body ache you get before a fever hits but i had fever. it comes and goes. its mild generally but its uncomfortable. sometimes i feel it on my legs, sometimes the arms, sometimes the entire body. when i google, it says cancer. could somebody please shed some light? i still suspect that its hiv even though i tested negative at 1 month because 1 month isnt really conclusive and all these symptoms just makes no sense and there really isnt many other causes of achy bones."
Arthritis,Arthrodesis-Anyone have this?,"I am considering arthrodesis (A surgery to immobilize your joint by screwing a plate onto the bones) for my wrist which has become quite bad from osteo and inflammatory arthritis. I am worried It will not really relieve pain for the loss of movement involved. If anyone had this and tell me what you are like afterwards, I would appreciate it!"
Arthritis,Arthritis,hi I've been told ive got arthritis in my pelvis and hips. I've got gallstones too awaiting for surgery but dont see the point in getting my gallbladder removed if I am still in pain from arthritis. seeing my gp in few weeks. Any advice much appreciated thank you
