label,discussion_title,discussion
B12 Deficiency,Low b12,my b12 level is 374. is that low enough to make me feel like im going nuts with severe anxiety and depression ?
B12 Deficiency,ADVICE ON LOW VITAMIN B12,"Hello Hope I am on the right forum. I am female aged 71 years. I have osteo arthritis,mild asthma, rhinitis,glaucoma, IBS, Diverticular disease and mild gastritis. I also have an underactive thyroid for around 28 years. Recently I saw a consultant Rheumatologist and have been given a diagnosis of mild fibromyalgia as well as the arthritis. All blood tests were fine, also tested for inflammatory markers which were negative. The consultant found on their computer some blood testsresults of 2017 /2018 which showed a slightly reduced level of B12. I found this strange that it had not been picked up at the time especially as I have yearly blood tests. I have always been told B12 was fine. My aunt had both rheumatoid arthritis and PA. My son has type 1 Diabetes. Knowing these things can be connected I was wondering if anyone would have an opinion. My recent test done a week ago was 134 and described as mildly reduced level and to see GP for supplementation. I will no doubt get a call from the surgery this week as they will have received the letter I also received on Saturday. One thing I have concern about is the thyroid should I ask for a full thyroid function test even though my TSH was with in normal levels 2. something. Next Blood test due around September. The other thing is that I have been taking Ranitidine for the gastritis for around 18months. I read that this class of acid reducers like PPI's can affect the B12 levels. Should I ask to be taken off them. Any advice or information would be welcome. Many thanks."
B12 Deficiency,Canker sires in mouth and burning gums,i was diagnosed with PA many years ago but recently have been constantly getting ulcers on my tongue and burning gums. ive read that having PA can contribute to getting this. Just wondering if anyone else has this problem?
B12 Deficiency,"My B12 serum levels are high, yet my cobalt levels (in hair) are low. What does this mean?","I got my hair mineral analysis test and my cobalt levels were lower than the normal range. However, when I tested my B12 levels, they were above normal (most likely a result of me supplementing B12). Any explanation for this, considering cobalt is a component of B12 and low cobalt levels could possibly lead to anemia?"
B12 Deficiency,B12 level of 115,"Got routine blood tests done and B12 came back at 115. Have only yesterday completed the loading dose of 6 injections, I feel quite weird! Is that normal? Headache, general fatigue, tender tongue, tingling here and there intermittently. Bizarre..."
B12 Deficiency,How long does it take for MMA blood test results,"For the past 18 months I haven't felt right to start with it was tiredness, occasionally feeling sick and lightheaded but back in July while eating my dinner my chin and one side of my face went numb. Since then i have suffered every day with all of the symptoms connected to b12 deficiency. I have has several serum b12 tests which always come back in the normal reference range but at the low end. 263 pg/ml, 320 pg/ml and 268 pg/ml my GP has said that as my levels are in the normal range deficiency is impossible. i also suffer with my stomach which has led to weight loss. ive had MRI scans, countless blood tests, 24 hour ECG and various other tests which have all come back clear or normal. The only thing that was picked up was a vit D deficiency which my GP said was causing all of my symptoms, this has now been corrected and my levels are back to normal but i am still very unwell and none of the symptoms have gone. I collapsed while in with my GP and she reluctantly agreed to test my b12 again along side MMA after i practically begged her to carry out the test.i am really struggling have been signed off work for the last 6weeks and my period makes everything worse.i had the MMA blood test over 2 weeks ago and wanted to know if anyone knows how ling this test takes to come back as i am struggling to cope now."
B12 Deficiency,Is this a VITAMIN b12 problem?,"20 year old male from INDIA8 months ago i was diagnosed with a b12 and D problem(very low levels)Levels were VITAMIN D : 42.7 nmol/L (75-250 range)VITAMIN B12: 119 pg/mL (211-911 range)After getting 4 shots and supplementing(mbalmin 500mcg) for 8 months my B12 levels have risen to 272 pg/mli find this surprising as i eat a lot of MEAT and EGGS on a daily basis.I have the typical symptoms of b12 deficiency like Fatigue ,Tingling in hands etcThe problem is doctor told me that just because 272 is in the range,it is normal and i shouldnt worry.Reading up on b12 has made me realize that this is a true low level despite being in the range.The doctor even told me that this level is common for people. What kind of doctor should i go to ?Who will take this problem seriously? Should i go to a blood disorder doctor? The general physician who originally diagnosed me didnt even wanted to get me on shots just supplements . WHAT SUGGESTIONS WOULD YOU GUYS GIVE,DOES IT SEEM LIKE A b12 problem or overthinking?"
B12 Deficiency,"I don’t test low on B12 or pernicious anaemia, but need B12 shots to feel better - what does it mean","I am getting B12 shots done privately as my tests dont qualify to get any from my GPs.My B12 tests have always come back fine over the years, but I have always taken B12 pills so i've never been able to have a true test done. Obviously the pills don't help me all that much, but just a little if I take it consistently.My doctor had a test done for intrinisic factor when I told her I was getting private B12 shots done as she said it's a shame i'm paying for them & actually wanted to help me get them on the NHS if I qualified. The test came back negative though & she couldn't explain why I feel a difference from B12 shots.I feel absolutely exhausted most of the time, have mind fog constantly & can't focus & when it gets really severe it's almost like i'm drifting in & out of consciousness from heavy exhaustion when I try to wake up.Having a B12 shot makes me feel human within days & it is such a dramatic & unmistakeable difference in quality of life for me. What exactly is going on if i'm not testing low on B12 or have pernicious aneamia according to the tests?I also have an underactive thyroid which is controlled with medication & seems to be stable these days."
B12 Deficiency,B12 Injections,"HI,For approximately three years I have had my B12 on a ten weekly basis.My GP's practice informed today I should be on a 12 week cycle. 12 weeks is unacceptable as the chronic exhaustion, palpitations, depression and lack of clarity of thought is debilitating .Previously, seen three GP's, all quote the NICE guidelines which state 12 weeks.My question is has anybody overcome this issue and managed to maintain a 10 weekly cycle?"
B12 Deficiency,Ms,"I have b12 jabs every 10weeks but after only 2 weeks of having the jab i have white marks on my finger nails and I'm still so tired. I am 65 and have been having these jabs since i was 45 after being rushed to hospital, them thinking i had crones."
