"label","discussion_title","discussion"
"Cancer","does this small circle look like it can be throat cancer?",""
"Cancer","Lump on my penis","I have attached the images above. So, basically I have noticed this lump on my penis yesterday in the morning. Its painless, but, I have anything like this for the first time. I haven't masturbated since a week and I am not sexually active guy. Can you tell me what is this?"
"Cancer","Is it a cancerous tumour?","Hi! I'm a 17 year-old female. I don't take any medications and I don't have any health conditions as far as I know. I've had this weird lump on the back of my head for more than 1.5 years now. To begin with it would bleed and leak pus, but for a long time it hasn't done either now. It's a firm lump that moves around under my skin and hurts when I press on it, but I don't notice it otherwise. I haven't noticed any other weird symptoms. I think the lump is about 1.5-2 cm in diameter.Is it something I should worry about? Could this be a cancerous tumour or something else that is dangerous? Should I see a doctor?"
"Cancer","Bleeding everyday","hi for a month now ive been bleeding from my vagina non stop some times its smallp amounts sometimes its a lot it all started when i was constipated and strained to go to the toilet but now its everyday please help"
"Cancer","Bump on skin for months "," ive had this bump on my shoulder for months now if i try to mess with it it starts bleeding i got bad anxiety im scared its skin cancer any opinions"
"Cancer","Skin cancer scare horrible health anxiety ","i have had this mole for years and years and years. nothing has ever changed.. always been the same size, color and weird shape. i have severe health anxiety and now im freaking out that i have melanoma! i have a tela -doctor appointment on monday for something else and ill show it to him but does anyone have moles like this? does it look normal? i know you guys are not doctors but its the weekend and i just need some kind of peace of mind. thanks 😃"
"Cancer","I don’t get hungry pains or ever feel hungry but I can eat food if it’s in front ","i was told i had ibs ive had colonoscopy 4 stool test ct scan and all normal but i just dont get the urge to eat food i have to get up and get food but body dosent tell me im 20 and male is it normal"
"Cancer","Does this sound like skin cancer??","There is this blotch or splotch thing on my inner thigh, about the size of a fingernail but with really faded borders, kind of how an irritated mosquito bite might look. The splotch changes colour depending on the lighting, but usually is between a shade of pink and red. When I look at it it sometimes looks brown but if I take a picture it comes out as a light pink colour.It changes colour and lightens a bit if I press on it, but it is a bit raised and feels different from the skin around it. When I pick at it, it looks really irritated and the skin around it turns blotchy and red. It almost feels hard, like something embedded in my skin, which is really weird and freaks me out a lot.I don`t remember exactly how long it has been here for...I would guess maybe a year or a bit shorter. Which makes me really scared that if it is something serious, it already got the chance to spread everywhere and is probably in my brain and lungs and bones and everything. I never got it checked out, even though I have had severe anxiety about it before, because my family told me not to worry about it, and that it looked normal. Since everyone knows I have really bad health anxiety (like a headache being brain cancer or an achy neck meaning I have meningitis and have to go the ER right away) they usually shrug off my concerns.Plus, since I gained weight I have a lot of stretch marks and veins and such stuff on my thighs so I thought for a while maybe it was related to that. But it definitely does not look the same., so I think I was wrong to think they were related.Does this sound like melanoma D: What freaks me out is I am pretty sure there was never a mole or anything there, and this does not exactly look like a mole, but for all I know there was a mole there and I just never thought about it or noticed it. I am spiralling in anxiety about it right now."
"Cancer","Cancer diagnosis and treatment ","My father was diagnosed with cancer 5 years ago, currently here is doing fine.I am not knowledgeable about it, but I often hear that cancer has the tendency to comeback, and I am looking to mitigate risk of that.Should I take him for x-rays to check? How often should one check?How much (on average) does diagnosis and treatment usually cost?Thank you"
"Cancer","I have a swollen lymph node for almost Five years","Hi there, i have 34 years old and i noticed a lump in my neck (jugulodigastric lymph node) five years ago with no other symptoms.It's a painless and movable one. Long axis is 1,5cm and short axis is less than 1cm.I also have a seborrheic dermatitis in scalp and face since i'm a child.My doc is not worried but i'm affraid about something severe. I'm very frustrated cause i don't have any answers and Dr Google scares me.Do you think i would have other symptoms if it were a lymphoma or something severe?Thank you for reading.Any advices would be appreciated."
