Label,discussion_title,discussion
Cataract,IOL Exchange - let's get serious,"Hi,I've been trying to deal with positive dysphotopsia for the last 2 years, but I'm done. It's too much, I can't stand it any longer.Tecnis monofocal.Pilocarpine is killing me, it's so painfull and uncomfortable, it's not a solution at all.What is your opinion about IOL exchage?On one hand, removing the IOL which provides 25/20 seems like madness. On the other hand, not removing it sounds like madness too.Moreover, there's no IOL on the market that guarantees any improvement.Is there anyone in such trouble?"
Cataract,Any positive thing about catarct surgery ?,"Helloi am 32 years old and I want to do cataract surgery with tecnis synergy but in this forum there is only negative experiences I would like to know if after the surgery i will see better or worse than i am nowhow can i seeafter surgery my smartphone ,TV , drivibg ,read a book , PC ... ?"
Cataract,Negative dysphotopsia ,"I have the classic black arc in the left side of my left eye post op. Id be interested in the experience of others. How long did it take to go away, did it go away? Its extremely annoying at this point."
Cataract,Symfony Plus has Received FDA Approval. ,this is a symfony with a near add or perhaps a trifocal. Shannon Wong just mentioned it on Youtube and it is also listed on FDA approval as of 5/1.this lens was also mentioned to me by dr. safran from new jersey. but that was a couple of months before the panoptix was approved.
Cataract,IOL Lens Half in the Bag,"It's been 3 months since my cataract surgery for my left eye. Visual acuity is excellent however the biggest problem I have had is a maddox-rod effect. So when I'm driving, every headlight and streetlight has a single long streak of light through it at the same angle. I have edge glare as well but this doesn't bother me as much and I can resolve this by wearing anti-glare glasses.I was slated for an acrylic toric iol but for some reason the surgeon upgraded me without my knowledge or consent to a Trulign lens. I talk about this in a discussion I created here:https://patient.info/forums/discuss/opinions-on-cataract-surgeon-experience-729137?page=0#3674068I finally was able to have a 2nd opinion yesterday and I found out that the iol is only half in the bag and because of this is slightly at an angle ( the left edge farthest from nose sticks forward a bit more than the edge closest to nose). I believe this is why I have the maddow-rod effect and probably the edge glare as well. This 2nd doctor recommended that I do nothing surgically since he believes my eyes are very complicated. In that left eye I used to wear -10 spherical, -3.5 cylidrical, I've had scleral buckles from a retinal detachment in my 20s, and I've recently had a vitrectomy in that eye. The first surgeon did happen to mention that the components in the front of my eye were ""loose"" (zonules?) although he never bothered to tell me that the lens was only half in the bag.The 2nd doctor mentioned that my vision is impressively good now compared to where it was. He said the only things that could go wrong are the typical PCO (which he can see a little building up) and the possibility that when the bag tightens up after a complete healing that it may squeeze the lens causing it to get unaligned even more since half the lens is out of the bag.Otherwise the 2nd doctor said I should leave it alone because the risks of worse complications are greater by trying to surgically exchange it or adjust it. I guess due to my eye history and that I may have weak zonules. Since that eye was adjusted for intermediate vision he gave me a prescription for driving glasses which brings the left eye up to 20/20 for distance saying that this should make the maddox-rod effects less noticeable since the lights will be in a tighter focus.I've wondered if the 1st doctor used an acrylic toric like we agreed that this wouldn't have happened. But perhaps it would have. I can't change the past since what's done is done and it doesn't look like I have the option of having a lens exchange or even a surgical adjustment.I've read that a Yag laser can fix some maddow-rod effects but that seems to be for wrinkled capsular bags where I may have a different issue. The 2nd doctor said he wouldn't want to even consider a Yag laser for the PCO until a year from now because of my situation. Do you think the Yag laser could actually help reduce the maddox-rod effect in my case?Has anybody else had a misaligned or half-in-the-bag iol? And if so, how did things work out?I guess I should be happy that I do have pretty good vision in that left eye that's been through so much. I can tolerate some imperfections like the edge glare but I'm worried that the maddox rod effect may prevent me from doing night driving."
Cataract,Cataract surgery,"Just had cataract surgery, during it the surgeon said the lens was very dense for someone my age, what does that mean"
Cataract,Is it tecnis symfony worth it ?,i have to chose fot tecnis symfony or mono focal tecnis eyhance is it tecnis symfony wort it i read that we can't see in night with it ?
Cataract,Choose EDOF or monovision with monofocal?,"Hello, I had a monofocal IOL (Tecnis) implanted in my right eye due to cataract in 2015. I was only 40 then. The doctor said my cataract may be caused by high myopia (-7D) or previous PRK operation. At that time, doctor chose to set my right eye to intermediate vision as I work in front of computer most of the time. I can see clearly from 50 to 70cm by right eye now and don't need a glasses for most of the activities. Need reading glasses for prolonged reading.My left eye is getting worse. It sees spiderweb like image to bright light sources (traffic light, street light, break light, etc) day and night. With left eye alone, I can't tell the outline of a car 10 meters away from dusk. All I see are light patterns crossing each other. But with right eye's assist, I can see the cars and the original position of light sources, so I have no problem driving at night. ( I have driven 60km one way on 401/QEW and locals every work day for two winters in Toronto)I'm seeing doctors to have my left eye implanted, as it barely sees anything. But three doctors all said my only choice is another Tecnis monofocal with monovision, because both eyes have to use the same type of lens. But on internet, many surgeon are practising mixed IOL implantation. Are doctors in Toronto too conservative?Based on studies I did recently, I think EDOF may be a good candidate for my left eye targeting to distance vision. Then there will be no blurry area between distance and intermediate by using monovision. It can also tolerate the calculation error considering the difficulty with post-PRK eye.I understand EDOF may have higher chance of visual effects. However, my left eye now has much worse effects by cataract and I'm living with it. I think I should be able to EDOF.Should I insist using Symfony in my left eye? Or should I wait longer for newer lens available in Canada like Tecnis Eyhance monofocal?"
Cataract,Cataract Surgery - Below Age 40 - Best IOL Choice?,"All,I wanted to start a thread dedicated to discussion about IOL selection for individuals below age 40. I'm curious if anyone who meets this criteria can comment about what specific IOL they selected and how the results were?A little about me - I just turned 30 and currently trying to decide which IOL to go with in my dominant right eye. I'm leaning towards a monofocal IOL set for near/intermediate (I use my phone & computer almost all day). I'm curious if anyone around this age range has implanted a monofocal lens set for near/intermediate with excellent results? I'm worried about losing my natural accommodation and also having to potentially deal with edge glare due to larger pupils at age 30.The lens I'm considering is the B&L LI61AO Sofport. It's a 6mm aspheric monofocal IOL made of silicone material (less prone to glare compared to acrylic) and it has square edges to prevent PCO."
Cataract,Had cataract surgery yesterday. Can I still have a cataract?,"When I stare at a word in the newspaper, the word and all around it, totally disappears. Isn't that exactly what a cataract does? I had surgery yesterday!!And I use only one eye, so it wouldn't be from a cataract on the blind eye."
