label,discussion_title,discussion
Diabetes,Persistent hypoglycaemia at 21,"I am going to go to the doctors for advice and bloods asap but thought it might be worth looking on here for advice or anyone that has anything similar.I am 21, female and recently have started having persistent hypoglycaemia. I have suffered with hypoglycaemia since 14/15. I have always assumed it is hypoglycaemia by the shaking, uncomfortableness and loss of concentration and usually upon having food or something sweet it goes away.I have recently dieted and lost 1.5 stone. I am 5'3 and 9st. Whilst heavily dieting (800-1000cals a day) i had managed to get the hypos under control and had none at all. I am now eating more and have not been hardcore dieting for at least a month and now the hypos are bad. 15-20 mins into a walk I get hot, shakey, feel very uncomfortable and get tunnel vision/feel spaced out.i work in diabetes type 1 and have always wondered if this is a possibility. any thoughts?thanks!"
Diabetes,gained weight and think I have diabetes - scared ,"hi, hope everyone is safe and well 😃Sorry for the extra long post and TMII'm a 22 year old female, 5ft 8.4inches and currently 263lbs with a waist size of 43 inches.After 6 years I have only just managed to get my binge eating disorder under control and am really trying to take care of my health now but I fear it may be far too late for me 😦 I am so worried that I have developed diabetes due to my unhealthy eating habits and inactive lifestyle for the last 2 yearsI started rapidly gaining weight in around August 2018, before this I fluctuated between 190lbs-230lbs. 200lbs seems to be healthy for me due to my height and my race (my mum is black Jamaican and my dad is white Turkish) and i feel and look healthy at that weight. In January 2019 I got diagnosed with PCOS which I am sure is down to my weight gain. In February this year I reached my highest weight ever of 284.2lbs as I was binging pretty much every single day but I have now lost 20lbs / 1-2lbs per week since then and will continue to lose more.My mum is obese with type 2 diabetes which she developed when she was pregnant and my dad is overweight so I feel like I'm at such a high risk especially having PCOS as well which can cause insulin resistance. I've also had a sedentary desk job since 2017 which hasn't helped but since working from home i've been working out 3-5 times a week.How long does it take for diabetes to develop, is 21 months of unhealthy habits a relatively short time? Can type 2 diabetes be reversed by losing weight?I don't know if this is a symptom but since maybe November I have noticed sometimes my bladder doesn't feel fully empty straight after going to the toilet and I also went through a few months period where I felt like I was hungry all the time and never full but I don't feel that at all now and i always feel satisfied eating 1500 - 1800 calories a day. I haven't binged, had takeaway food or alcohol in 3 months and haven't had a cigarette in over 2 years.I don't know if this is relevant / any of these could be indicators of diabetes but I have had my iron, cholesterol, liver function and CRP tested last week and they are all normal / optimal but I do have an under-active thyroid. My blood pressure ranges from 120 - 135I've spoken to 2 GP's and they've both told me not to worry because I'm young and to just focus on losing weight, they seem to think the diabetes test can wait until after the virus has settled but my anxiety is through the roof!please be kind - I'm just looking for reassurance if there is any, I know i shouldn't have let myself get to this weight and I know I need to lose weightthank you 😃"
Diabetes,HyperInsulinemia (high insulin levels),"I am 38 now and I have high insulin levels, and barely elevated blood glucose levels. Doctor is treating high insulin with metformin and Trulicity. So far it hasn't had much effect.When I was 17, I was diagnosed as being hypoglycemic. When I workout I still have to make sure I have some kind of snack with me for if/when blood sugar drops.Would high insulin be treated differently if I didn't have insulin resistance or elevated blood glucose levels?Would prolong high levels of insulin cause insulin resistance?"
Diabetes,Diabetes Insipidus...or is it? A possible cure? ,"I am creating this thread in the hope it can be a place of hope and support for those with diabetes insipidus (or health issues that mimick this condition) and also possibly provide information to help some people resolve their symptoms, or dare I say it, find a cure.First, please let me state I am not a medical professional so please do your own research, I'm am just sharing my thoughts and ideas.From my research over the past 2 years I have reached the conclusion that many people diagnosed with cranial diabetes insipidus, particularly idiopathic cranial diabetes insipidus may have a different underlying condition that may be causing their symptoms and may actually be able to resolve these issues and possibly cure the disease.I find new cases whenever I look, of diabetes insipidus that has gone into remission or gone away after a patient has taken certain medications for conditions not thought to be related to diabetes insipidus.There seems to be a link between immunosuppressent drugs given to patients that has often resulted in the symptoms of diabetes insipidus disappearing. Could diabetes insipidus for some people actually be caused by an autoimmine condition? And some medications taken for autoimmine issues can possibly resolve diabetes insipidus?I'm my opinion there are those with diabetes insipidus due to genuine pituitary / hypothalamus issues be it from a tumor, inflammation, head trauma etc but there are also those who have an autoimmine condition which somehow suppress vasopressin. I also believe there are those that do not have anything organically wrong with their production of vasopressin but for some reason the body has become confused and has become hypersensitive to fluid intake and believes the body needs far less fluid then is actually adequate. As if the water level for the body has been lowered dramatically and whenever you try and hydrate the body instantly wants to dump the fluids out but at the same time people with this issue can still produce vasopressin and their condition often fluctuates.I have probably said enough for now but I will share some studies and stories of diabetes insipidus in my next posts.Please feel free to get involved and share your experiences and ideas on this subject and if you kmow of any stories of improvement/cure of diabetes insipidus please post them here.I will find a way. Thank you."
Diabetes,Constantly thirsty. Waking up with extreme thirst. Is there a chance I have diabetes?,"Hi everyone,I am 21 years old and I have a symptom that has really been bothering me. I keep waking up every morning with deathly thirst and am drinking a ton of water only to continue feeling thirsty throughout the day.I am 5 feet 8 inches tall and 217 pounds, so my BMI isn't exactly the best. When I search the internet for my symptom, diabetes is the main result, but I believe I would have had to develop prediabetes first to get diabetes. My last blood glucose level was 87 mg/dL which was taken 10 months ago and the normal range is between 70 and 99 mg/dL, so it was normal back then.Does it sound like I could have diabetes, or am I just kidding myself? I have bad health anxiety but this seems like it could be a possibility.Thanks for reading."
Diabetes,Diabetes Insipidis ,Just wondering why i Haven’t heard anything on diabetes insipidus for a long time just wondering if there’s anything new happening. Thank you Rod
Diabetes,Diabetes and low kidney function.,"I think I may have posted about this a few months ago but not sure.I went to GP surgery back end of last year with what I thought was a simple UTI.They took blood and called me back in a few days later as they were concerned about the results and wanted to talk to me.Blood sugar was high and also kidney function was low.They changed one of my tablets and continued to take blood every month till March.They then said sugars had come down and kidney function had improved.So I was pleased and now only test my blood sugar once or twice a week.What I am confused about is blood sugar is still high when I test it it was 21.6 yesterday evening but I have no symptoms of diabetes such as thirst, needing to go to the toilet a lot sweating even when it is this high.Sarah"
Diabetes,Ozempic weekly shot,I am just over a month of diabetes diagnosis. I was put on metformin twice a day. I just went to new primary care and she wants to add Ozempic injections once a week. She says it has also helped with weight loss. Has anyone tried this yet? And if so any advice or reviews?
Diabetes,is 94 normal reading after fasting?,I took a blood glucose reading after fasting for 12 hours and it was 94... is that normal after fasting?Are you also supposed to test after eating ?
Diabetes,I have type two dietbitis ,"i am experiencing dehydration ,tiredness ,and go to empty my bladder a lot more ."
