label,discussion_title,discussion
Headache,"Spaced out, high, Drunk Feeling. Please help me. (5 MONTHS) ","Hi everyone.My name is Erik. I am a 20 year old male, thin build. 6' 2'' at 170 lbs. I have had really debilitating issues for the last 5 months. The issue is that I feel drunk, spacey, loopy, high and dizzy all the time. It basically feels the same as if you were tipsy or the high feeling you can get. I also have visual disturbances. My vision has become blurry and I have somewhat tunnel vision. I just feel all around out of it. I find myself daydream, when I say this I mean my eyes don't focus on anything (go blurry) and just look at nothing. I think it might be slight double vision. Sounds are also very werid and it takes alot of energy to focus on visual and audio stimulants. Additionally, I am tired all the time. Extremely tired. Some days I will sleep very well for 10-11 hours and still be tired when I wake up and exercise will not wake me up. It is like the type of good solid sleep you have when your body is sick.. My memory has gotten really bad as well as my ability to process thoughts and engage in conversation. Imagine being drunk all the time...first I have been reading on boards like this for a long time now and have seen some people with these symptoms but no answers!! People seem to disappear. I hope hey have solved this problem but please let me know how!Let me start by giving some background information. In August 2015 I was in an indoor rock climbing gym and fell from 15 feet straight onto my back. I could not move for a good 15 minutes because it hurt so bad. I wasn't able to do anything athletic after that day for at least a month. However, I did not have my current symptoms after this fall. Fast forward to December 15th 2015. I got really sick, was in bed for 4 days. Sore throat, eyes hurt like crazy, and super tired. It was during and after these 4 days that I developed a headache. This headache causes a pressure/dull/sharp pain behind my eyes, the upper bridge of my nose and right in between my eyes on my forehead. This headache lasted for about 4 months. At about 3 weeks into the headache I went and saw an ENT as I thought it was a sinus infection. i took multiple sets of antibiotics over the course of the next month to no avail. I got blood tests and liver test at around 2 months into the headache and nothing showed abnormal. I then was able to get into a nuerologist. They were unable to find anything after taking an MRI of my head with a barium contrast. Since the beginning of my headache I have been seeing a (PT) physical therapist mostly for my neck and back since after the fall my back is sore constantly. I had a neck injury about 5 years ago on a trampoline so I have a sore neck, tight muscles alot from that. At about 3 months into the headache (3/15/2015) I developed a new symptom, the drunk/high, dizziness, loopiness. I had the headache at the same time at this point. My PT suggested that I may have a blood vessel being pinched in my neck or a nerve being pinched in my mid back area where my rock climbing fall pain is mostly at.I have been to 3 different chiropractors since this has occured about 5 times to each one. It has not helped so far. My PT gave me massages in my affected back and neck areas. Also a new thing I've noticed recently is that when I look up (bend my neck to look at the sky) I seem to get some sort of relief? Also ever since the loopy part started (this did not happen when I just had the headache) any amount of alcohol at all will make me SUPER DRUNK, literally like 2 sips. I used to be able to drink 3 full beers before getting buzzed.I am thinking I want my doctor to give me a full head (brain/upper atlas) to lower back (tailbone) MRI so that my nerves and blood vessels going to my brain can be evaluated. Do you think this is a good idea? Has anyone had these symptoms before? I am now 5 months into this and it is debilitating. No doctor is taking me seriously because I am so young and the chances of having a serious problem are supposedly slim because of my age. PLEASE HELP!!! I feel like I'm caught in a dream and losing my awareness and my IQ. I am afraid something is damaging my brain and this is going to be permanent."
Headache,"Head pressure, Brain fog, odd head sensation, feeling detached","Hi all, I decided to become a member and make a post here after reading the forums for quite a while, great site by the way. I am currently suffering with various symptoms and am in a bad way and just don't know where to turn any more so thought I would post here and see if anyone has any similar experiences or advice. So first of I am male and 26 years old. I have been suffering with the symptoms in the title pretty consistently for about 2 and a half years now. I used to have some relief from the symptoms for a day or 2 here and there or maybe a bit of relief for a few hours in the day but recently the symptoms are pretty much constant and I cannot shake them. I have an overall mild pressure feeling in the head, its not painful but is just very aggravating and feels really strange. I also have extreme brain fog with this and like a fuzzy head, there is a constant cloud over my brain and I never have any mental clarity or a clear head. My cognitive function is extremely poor now, my short term memory is non existent, its scarily bad. I often feel, detached from reality when the symptoms are bad and suffer from de-realisation, although I think this may be down to some anxiety and depression I experience when the symptoms run me down. I also get random sharp cramping pains in the head, they are quite painful but do not bother me so much as they only usually last a second or 2, it varies on how many I get of these each day but its usually less than 5. It often feels as though my brain is malfunctioning somehow and my cognitive function and senses are all out of whack, its hard to explain. There can sometimes be a build up of these symptoms throughout the day and by the night I can feel like I somehow how the flu without a fever? Like I have the head pressure, completely foggy headed, I feel super unwell, weak, sometimes even start feeling cold. Also have night sweats usually for about 4 or 5 days each month, there doesnt seem to be any sort of pattern to them that I can notice, so not sure if they are relevant. Another thing I have is ringing in ears which is mild but seems to have gotten worse recently if that sounds relevant at all. The main thing that gets me is the odd head pressure/sensation and the utterly life hindering brain fog, my brain feels like it is coated in a dark blanket constantly.I do suffer from anxiety, I know many of these symptoms can be caused or made worse by these symptoms. I dont doubt that anxiety is a contributing factor and the way I think about they symptoms probably makes them worse but I have come a long long way with my anxiety, I have good control over it, I haven't had a panic attack in a couple of years, I manage to control most of my concious anxiety and stay in a positive mindset. No doubt I still have some subconscious anxiety underlying and I am working on that but I am not convinced this is the route cause of my symptoms. I am in therapy for my anxiety. I do not feel I will ever fully recover while I have these symptoms hanging over me though. I have been to the doctor about these symptoms, although I do think I struggle to explain them or put them across very well in the doctors office. I have have blood tests which are all normal. I saw a neurologist couple of years back when this started, had a CT scan which was normal, they put the stabbing pains down to icepick headaches and thought the other symptoms were probably made worse by my anx/depression. Since then I went away and have been on anti depressants etc with no improvement of symptoms. I have also had a few ECGs and a 24hr ECG as I have slow heart rate and low bp so thought maybe the symptoms could be down to low bp and lack of blood to the brain, doctors do not think think this is the case and all my results came back normal. I have recently been back to the neurologist who is referring me for an MRI although he said he is sure there is nothing sinister and thinks the symptoms are probably tension type headaches and made worse by and previous drug use, he only put it down to the drug use when i told him about it though so it seemed like a convenient diagnosis. I forgot to mention I used to take drugs on the weekends socially, cocaine, ketamine and ecstasy on different occasions for a couple of years, I have had periods where I have felt ok since taking these drugs and do not really think they are the cause, I was not an addict this was just one or 2 nights a month at the weekends. So I have an MRI coming up but the neuro thinks it will be clear and obviously I hope it is and I am looking for other answers. What could be causing these symptoms? Other than anxiety which i no can be a factor, but I have periods where my anxiety is pretty much non existent but these symptoms still build up out of nowhere and persist. I was thinking maybe some sort of allergy could be a possibility, I have tried cutting out gluten and lactose, this didn't seem to make much difference although I didn't stick to this for very long. I actually did a juice fast for 2 weeks with eating nothing other than fruit and veg juice put through a juicer to see if that would help but it didn't really give me any relief. Are there any other stomach issues that could cause this? I never have diarrhoea or constipation, my stools always float recently though, to the point of not being able to flush them, also whenever I have seen chance medicine doctors they check me out and say they think i have issues with digestion, i don't feel i have these issues but do wonder if there might be something in it. Could there be something going on with the blood vessels in my head? Could it be a spine/posture issue? Some sort of epilepsy or electrical activity in my brain? I just have no idea now and am desperate for some relief. If anyone has any ideas or advice I would really appreciate it. Oh just to add I am reasonably fit, I try go to the gym a few times a week and I do some weight lifting. I am a normal weight. I have been losing some weight recently which is a concern but I am still in a normal weight range for height and age. Thanks for reading"
Headache,Clicking noise in throat/head when talking - can be heard externally ,"For the past 4 months I've been getting a clicking/popping noise, like popping candy, somewhere in the region of my head and neck. The noise happens very day for a few mins and only happens when I talk or swallow. The weirdest thing is the sound it makes can be heard externally, it is not just a noise that is heard internally in my head/neck. I have been feeling really hot while this happens, and mostly for the rest of the day, especially on the face. I have checked my temperature but I don't have one.When I went to the doctors 2 months ago, they discovered that a lymph node in neck neck (right hand side) was swollen slightly. It is still swollen and visibly throbs (like a pulse) but is painless.I get headaches quite a bit and feel very tired, I did however have very low B12 levels at the end of last year so it could be that again (I had to have injections to boost it).So, not sure if it is all connected but my main concern is the weird noise in my head/neck. I have been referred for an urgent MRI scan. I would really appreciate if anyone has any ideas of what this could be - thank you."
Headache,Some things on my phone are fine to do but at certain times other things don't work well for my head,"I've been dealing with some extreme anxiety issues for the past 2 and a half months now, and it's debilitating at this point. It's taken away almost everything I love to do. One thing that makes me think I may have some kind of brain issue though is that playing certain games on my phone is fine for me, they wont cause any kind of head issues, anxiety, or nausea. But at certain times like when I watch YouTube or other apps they cause all those previous issues. I don't know if it's my anxiety that causes my brain to go off or if there's something wrong. Main question is why can I do some things on my phone just fine (mostly one app) all the time but sometimes doing any other things on my phone will cause a bunch of issues. Do I have an eye problem? 99% sure I don't need glasses though. Thanks for any responses as they're really valued to me. ?"
Headache,Weird migraine+other symptoms for over 2 weeks now,"A few weeks ago i developed a head pain that was different than any migraine I have had before. It was a burning sensation that was mainly on the left side of my head and around my ear. It would be unbearable for hours at a time than just become a normal pressure headache. After a few days I called my doctor and took medication for an ear infection because I was unable to go into the doctors office due to Covid 19. The medication did absoutly nothing and my head pain still returns(but not as frequently) and i can sometimes hear a swishing/crackling noise in the back of my head (almost at my neck). I also have the feeling of tingling in the back of my head occationaly and also soreness in my head and neck. I also just wanna put out that have a history if having anxiety attacks so when I start to worry i can become dizzy, out if breath, and almost numb, so when i have those symptoms I usually ignore it due to my history with anxiety. Due to my concerns I started to look up my symptoms and the things that are coming up seem pretty scary (stroke, brain tumor, spinal leak, ect) So i thought I should ask on here and see if any of you guys have any idea. I currently cant go into the doctors office due to coronavirus so this seems to be the next best thing. Thank you and any input is appreciated."
Headache,"DOES ANYONE SUFFER FROM WHOLE BODY TREMOR,VIBRATION,BUZZING 24/7 DUE TO ANXIETY???","Hi does anyone here suffers from internal tremor,vibrations,buzzing in my whole body.??its been 3 weeks already 24/7..at rest or in motion..but feels more when in motion..Ive been so stress out..i have anxiety too for very long time..pls help.."
Headache,Constant head pressure/head feels fatigued/Spaced out,"Back in December, I experienced the worst headache/migraine of my life. It was a feeling of undescribable head pressure(I describe it as fluid surrounding my head). Pressure/headache in the eyes was really terrible. When I thought I was feeling a bit better and got up to move around, the head pressure would return and I had to lay back down. This lasted 2-3 days. I thought I would recover, but I've never felt the same since... And I'm only 28. No prior health issues to this. I have a 5 year old daughter and to be honest, this is completely ruining my life. The head pressure has never gone away.The head pressure was so bad on and off for the first 4 months I literally thought I had brain swelling(that's how it made me feel). It felt as if someone was moving my brain around. It's as if your head is fatigued from working too hard and it's in a constant state of shaking. A very weird, undescribable, uncomfortable, scary feeling. I had really bad brain fog. I would have moments where I would space out so bad I felt as if I was in a dream for the majority of those months. So detached. I still have those moments.Everyday I wake up, I have head pressure(blood shot eyes). My ears feel the need to pop deep inside the cavity. Uncomfortable and unease feeling of my head(like it's fatigued) is the feeling that makes it the worst. My head feels clogged and I espcially feel it in the surrounding portion of my back eyes, ears and head. I don't ever feel normal. There might be a relief of head fatigue from time to time, but my head has never felt the same. The only thing that makes me feel somewhat normal is if I lay down. In the beginning 4 months, putting on hats, listening to loud music, over the ear headphones only made my head pressure worse and give me terrible headaches for the remaning day in the begining. Went to the ER twice the first few months for the head pressure symptoms and followed up with my primary care doctor. They all said stress but ultimately was referred to a neurologist, ENT & Eye Doctor to cover my basis. I've had an MRI of the brain with and without contrast done. Only thing that revealed was a few mucus cyst(which are normal I guess). I've had a panel of blood work ran which all came back normal. Checked for Thyroid function, blood count and few other things. Had a CT scan done of my sinus(no prior sinus or allergy issues in my life) and pending results on that. Not really optimistic it's going to show anything.I don't know what to do at this point. I truthfully feel hopeless.. I need help"
Headache,"Head pain , chronic tension headache??","does anyone suffer with head pain like this I've been told its chronic tension headache it never goes away I have suffered for years now I am in constant pain with no pain relief doctor will not give me any pain meds just venlafaxine for depression as suffered for years with this pain. I had head scans etc. spoken to neurologists and lots of docs over 10 year period. still in pain ,can't sleep with it. nothing seems to help."
Headache,Pressure in one side of head,"Hello EveryoneI have been going out of my mind with worry that i might have a brain tumour. Over the last couple of days i have had a pressure headache on the left side of my head. It seems to be worse when i lay on my left side and better when i lay on my right side. I can remember having this on and off in the exact same place on my head for at least 2 years, could that be a good sign?"
Headache,Pressure and tightness in head/ tired heavy feeling for two weeks ,"hi everyone,for two weeks i have had a feeling of pressure in my head. it feels sometimes like squeezing. 1-10 its like a 2. more annoying than anything. head feels heavy and eyes feel heavy and tired. sometimes i can feel slightly lightheaded from moving alot combined with the heaviness i feel. sometimes even a little pressure on my face if i really think about it. any clue as to what this can be ? this is something i feel all day. for 2 weeks. anxiety ?CT scan clear as well as sinus CT clear i had it done in January. Blood normal i had it done in march, my doc wanted to put me on topamax but im scared and i dont want to go on medicine i have to take everyday. any input appreciated! no one has been able to figure out what this is..."
