label,discussion_title,discussion
Heart Attack,Heart palpitations and difficulty breathing.,"Hi I am 21 years old I do not have any diseases and no family history for heart diseases even my grandfathers and grandmothers and I am a bodybuilder. My problem started when I read on the internet about vaping could cause difficulty breathing and I started feeling heavy breathing then I thought that there is a problem with my heart finally I thought that I have anxiety and stress that causing my difficulty breathing all the day but I think it is not from anxiety. My heart beat fast and uncomfortable and I breathe like half breathe. I feel really anxious and stressed because of that. I did echo test, ECG several times, spirometry test , blood test , X-ray several times and pules oximeter all of them came back normal.I feel really bad after I eat and I feel my stomach is not comfortable at all and when I try to breathe throw Diaphragm the difficulty breathing increase. The food immediately goes back to my throat even water. There is a lot of gas in my stomach and no appetite for food at all. All what I think of are my stomach and breathing. Finally, when I move really slightly my heart beat faster and uncomfortably even when I stand up I feel  bad and anxious. Al day I think  about my heart and breathing. My blood pressure is normal also."
Heart Attack,Chest Pain/Shortness breath Symptoms; What scan would you get next?,"Hello all,I’m a 24 y/o male and would really really appreciate some input on what exam I should get next. I’ve asked the same question to my PCP and Pulmonologist but would prefer a wider array of opinions to then present to them for consideration. PLEASE, I don't mind anyone not wanting to read this much but don't jump to ""Chest pain & labored breathing? Go see a doc ASAP"". I can already hear someone projecting it as I click submit ?I’ve been experiencing sporadic shortness of breath, heart palpitations though very seldom lately and mostly just during hard workouts now, pain in left chest area upon deeper inhales and exhales, can guarantee pain upon each inhale if I’m breathing a chemical in the air like acetone or rubbing alcohol, Other chest pain that produces a pressure-pain to left of sternum during certain workouts usually more prevalent the harder the pump, more prevalent pain in lung/sternum area and breathing gets tight when just slightly dehydrated. Also sometimes feels like the left lung isn’t wanting to contract for a fulfilling breath. This next symptom hasn’t persisted lately but dealt with it for like 4 months - feeling like I sometimes can’t get a smooth food/water swallow in like it keeps allowing some down wrong tube and being a catalyst for left lung pain.So to offer context, I don’t have a lot of money and therefore have had to do my own due diligence then bring it to my 2 doctors so we can put our heads together. I acquired my medical MJ card January 2019 and began smoking and dabbing 2-3 times daily 4-7 times a week. Developed some very bad lung and bronchial issues come November and stubbornly quit like 3-4 weeks after pain began. It got really bad with constant labored breathing unable to get a few words out between air gasps. Had sharp pain in left lung and right in symmetrical areas as well as bronchials (left bronchial and right lung pain out above bc/ it only persists on left side now).. I had even less $ then so jumped on medical recommendations for COPD patients. So lung damage is a certainty and clearly improving over time.But that leaves the heart palps, pressured chest pain, and occasional labored breathing despite being fully hydrated up for question. Also can’t be certain that weaker contractions in left lung are lung damage or pulmonary valve related. Damage to pulmonary valve could easily lead to all symptoms. A pericardial effusion could lead to many of them. Iron overload could lead to all and I noted less symptoms after a blood drawing more than once now. I also follow a strict diet for other reasons that include organs - cow liver, kidney, and heart all with sufficient iron in them and have followed it awhile now. Or it could simply be the lung damage symptoms compounding with my back issues/scoliosis as my left rib and sternum are clearly protruding more than right side as scoliosis slowly develops and the pressured chest pain is most prominent with chest-related workouts. So many things to consider unfortunately ?.I’ve had an iron panel blood test and all levels are normal though I’ve seen rare cases on the internet of people with normal iron serum levels still having organ iron overload so while in the back burner, I can’t fully exclude it.Also just had my first imaging, a CT scan w/out contrast of chest. Report said “No mediastinal, hilar or axillary lymphadenopathy. There’s a trace pericardial effusion, and there is fluid in superior pericardial recess & superior aortic recess. Limited views of the upper abdomen are unremarkable. There is a benign 1 mm subpleural nodular density in the left lower lobe (series #4, image #45). The lungs are otherwise clear. There is no pleural effusion or pneumothorax. The osseous structures are intact”Which ultimately leads me to the question I came to ask! With all that context, what next scan should I seek to rule out as many potential causes as possible? Would a chest MRI show lungs & heart? Or would that be redundant with the CT scan for any possibility outside of heart iron overload? Any other ideas or input are also appreciated ?. Thank you for bearing with the lengthiness!"
Heart Attack,Please help! What does minimal ST depression in inferior leads mean on an ECG?,"My mother is 60 years old and went to the ER for chest discomfort. They did blood work to check the heart enzymes, which came back fine, and this ECG which stated ""minimal ST depression in inferior leads"" and that it was abnormal. She has a stress test and an echocardiogram June 2nd. Can anyone offer some insight? Is this always a serious matter? My mom is making herself sick over it. Her anxiety is through the roof, and her doctor isn't helping too much with info. "
Heart Attack,Heart rate ,"I'm a 61 year female, overweight  but have lost 34pounds  recently, well done me, a few weeks  ago started to to do a bit if excercise and my heart rate would go to about 106 - 110 after about 10 minutes, now I only have to wall around the house  and can shoot up to this, just bathed my dog and it went to 121 but soon recovers to its normal level  which is about middle  60s, I dont smoke or drink, any advice  please"
Heart Attack,Scary heart palpitations! Pleasee help :((,"Hello, so I'm 17 and have been dealing with highly uncomfortable palpitations for the past couple of weeks. They get especially aggravated when I go on walks; I can feel flip flops, skips, pauses and strong thumps sometimes multiple in a minute and usually not that far from each other. They're making life really difficult to live but everyone around me keeps telling me I'm fine when I feel miserable.  I can't do the things I normally do like walk and take regular showers because the palpitations are easily triggered by these things and I'm constantly worried about my heart. To give you more perspective my palpitations feel mostly like pvcs and pacs; a fluttering, pause, skip, or individual big thump sensation. They've been happening frequently and they exhaust me.  I went to a cardiologist this week who did a brief ECG and said everything looked normal, but I'm not comforted. They didn't catch me during an episode. I'm getting more and more uncomfortable with the coming days and all I feel is panic and worry. There is a slight ache in my chest and I can't help but panic and feel there is something wrong with me. I want to do an echo, holter, and stress test but the holter isn't available and I'm afraid an echo and stress test will be too expensive. I'm terrified. I also get my wisdom teeth out in a day and have no clue how my body will react to anesthesia especially with these new palpitations... I can't put off the surgery because my teeth are in a pretty severe state and are causing pain.  What is wrong with my body??? Please...Anything helps. Thank you so much."
Heart Attack,Chest pain cycling,"I was riding my bicycle, and a light, cold wind was blowing. When I returned home, I was directly confronted with the cold wind and I started to breathe even more, about 1km or 0.6mile before I got home. and the left ear, I will also underline the parts where I had pain you had a little bit in the left cheek and in the arm, in the arm and cheek pain was easier while in the ear and chest it was stronger, then I panicked and I stopped breathing because I was afraid of a heart attack, until I got home then after I entered the house the pain started to disappear, I could still feel if I was shaking"
Heart Attack,Has anyone had a stress test while newly diagnosed with hyperthyroid?,"My mom is scheduled for a stress test this Tuesday. She recently went to the ER for chest discomfort and had an abnormality on her ECG - ST depression in inferior leads. She has been so worried over that and has also found out her thyroid levels are off - overactive. Well, she was reading about how stress tests can be dangerous when you have hyperthyroid. She isn't being treated for it as of yet. Her doctor wants to re-check in 3 weeks to see if her levels go back to normal before referring her to a specialist since it has done this once before."
Heart Attack,Heart palpitations // Anxious!!! Any help?,"Hello! I'm 17 and just recently started feeling palpitations more often. I noticed them more when I would go on walks. They usually feel like a pause, and then a bigger thump, a fluttering feeling, or a skipped beat. They're really scary and I panic every time I feel them, though I can still feel them sometimes when I think I'm relaxed.  I recently went to a cardiologist, who did a brief ECG and the results came back normal. They had said palpitations can be related to stress and anxiety, and even if they did pick up on a palpitation like the ones I'm describing, they don't treat them. They gave me some stress management tips and told me to try magnesium. They also said that they didn't want to do an echocardiogram because they're expensive and it's a lot of money to spend for finding something normal. They also said it wouldn't be dangerous to exercize. I've been scared to start exercizing again because I'm afraid I'll feel them again or they'll get worse. I get scared I'll have chest pains or feel like I can't breathe, and when I panic I can sometimes have those sensations and not know the difference between a real problem and anxiety. I know I should be comforted by hearing that everything looks normal but all I feel is panicky and constantly worried that something is wrong that I don't know about, or that something really bad could happen. I don't really know what to do. Anything to help me feel more comforted? Thank you so much! ??"
Heart Attack,Having trouble breathing + body jumps with shock,"Hi,Usually when I am ill i just put up with it and wait for it to pass but for the past few weeks I have felt my health get worse and worse pretty rapidly. I am obese and although I dont know my exact weight i know it is over 160kg.About a year ago I went to AnE because I had a tight chest with pains in my heart and a heavy left arm with pains but after having an ECG + blood test  + xray + blood preasure they said that it didnt show any signs of a heart attack. I had the same intense pains about a week ago and went back to AnE but the results came back the same.The main issue I have now is that ever since I went to the hospital a couple of weeks ago everytime I lay down to go to sleep on a night I have trouble breath and I feel like my heart is skipping beats and on top of that sometimes if I feel like I skip quite a few beats my body all of the sudden jumps and I gain pains that shoot though my whole body for a few seconds which makes me scared to lay down and try sleep to be honest I am sat here at 1:30am typing this out.One more thing I have just remembered is light  headedness sometimes i feel like I'm not getting enough oxygen to my brain as I go really light headed and dizzy and my vision seems cloudy.Now obviously a lot of these issues will be linked to my weight and I have been so scared that I have been taking action to lose weight over the past 2 week but I am more worried about the short term potential issues with my heart and breathing and just wondered if any of the things I have described ring any alarm bells as will take months if not over a year to improve my weight to a reasonable amount and at the moment I feel like I dont have anywhere near that amount of time unless these issues start to go away."
Heart Attack,Can you get heart murmur from stressing? ,"Hi everyone,Since April I started to feel a pressure on the left side and started to lose quite a lot of hair. So I went to check it out, they only discovered a physiological heart murmur and they did the typical blood work and ekg. Everything was normal and my thyroid level was also in the normal levels but they noticed I had slightly higher heart resting rate than what I normally have.I can't know if I feel more tired or get more exhausted because since I got hyperthyroid, I had trouble with always feeling exhausted and don't have a lot of energy as I had before.  So I get easily breathless when I'm really tired which is totally normal for me because I always feel tired. So some days I feel more tired than other days.So if you get heart murmur as adult and never had it before, can it be just because of stress or is there something else that can cause it? Is it normal for adults to get heart murmurs, I'm 23 years old.But I haven't felt more stress than what I normally do."
