"discussion_title","discussion_link","discussion"
"Has anyone take the Harvoni did you have side effects ","https://patient.info/(F(W8k6dBExZtF9QdDhsnGtUQ7sgjt6eqw7TNW-2JQfO8soU6nn0U6EPki8jLxJ7fIC0wx1nSpdDW4T48CRML7hocP50cufVopUf_KCfJs5LHoKPurL-aD7vJrRk-gkchl-mNu-OZhY25VNgAss67c8b_KNIXaqr0Kh3r6mj5Q-rzyaZHfc_8Ry2YiBA1XjLEbyOtnOcjOBGWdShsy6fjU6wayugcU1))/forums/discuss/has-anyone-take-the-harvoni-did-you-have-side-effects-587115","Has anyone taken Harvoni if yes any side effects"
"Just tested positive for Hep b ","https://patient.info/forums/discuss/just-tested-positive-for-hep-b-654615","I'm 25 years old and am devastated about my diagnosis. I also have symptoms of mild fevers and headaches. I'm freaking out and feel alone and feel like this diagnosis is the end of the world for me. Someone please help me understand this viral infection more. I'm 25 years old and am devastated about my diagnosis. I also have symptoms of mild fevers and headaches. I'm freaking out and feel alone and feel like this diagnosis is the end of the world for me. Someone please help me understand this viral infection more. "
"Help! Fibrosure Results and Scared!!! What to do now???","https://patient.info/forums/discuss/help-fibrosure-results-and-scared-what-to-do-now--721417","Hello. I'm new here. I contracted Hep C from a blood transfusion in 1978. Was diagnosed in 2004.Genotype 1B.I've had (2) biopsies, (2) FibroSpect II Tests and (1) Fibrotest Actitest.SEE RESULTS OF EACH BELOW.BIOPSY RESULTS:Biopsy 2004 - Stage 0Biopsy 2010 - Stage 1FibroSpect Tests Results:2010 - F0-F1 - Fibrospect Index II Metavir Score ""16""2014 - F0-F1 - Fibrospect Index II Metavir Score ""25""Fibrotest Actitest Results:2019 - Fibrosis Stage - F1-F2 Metavir Score ""35"" - minimal fibrosisHep C Activity - A1-A2 Metavir Score ""39"" - minimal fibrosisI'M SO SCARED! IS THIS BAD! :-[Can i get CANCER now from this? 😦Has anyone had same results or similar and treated? Do I need to start treatment? Or do I have time??What medication did you use (Harvoni, Mavyret, Daklinza, Epclusa, Zepatier, etc.)?Side effects?Please Help! Thank you in advance 😃"
"Hep C returns.","https://patient.info/forums/discuss/hep-c-returns--731753","I was loaded with a dose of hep c from a blood transfusion in the late 80's. Was diagnosed and had a liver biopsy in the early 90's. Biopsy showed inflamation. i was treated with just short of a year on interferon and ribavirin. Then was told my viral load was too low to count so i was, essentially, cured. Now i just started with a new MD and he checked all my blood tests....well, among a lot of other issues, my viral load is very high. If i understand correctly, I'll need to be treated again with one of the new wonder drugs? Do i need another liver biopsy?"
"10 years with hep b and the mental physical connection","https://patient.info/forums/discuss/10-years-with-hep-b-and-the-mental-physical-connection-665175","I had no idea about hep b until I received the letter after giving blood. Shortly after I started to feel differences in bowel movements, eating habits, and overall physical well being. The diagnosis made it all real. It's hard not to think about it. It's even harder to think of how destructive my behavior was even after being diagnosed because I was in denial. Now, today the rights are more frequent as well as the pain. The goal now is to try and live as long as possible with as little stress as possible. I'm still learning too accept the fact that I have this for life so I can motivate myself to do more than I have done to promote my well beingI had no idea about hep b until I received the letter after giving blood. Shortly after I started to feel differences in bowel movements, eating habits, and overall physical well being. The diagnosis made it all real. It's hard not to think about it. It's even harder to think of how destructive my behavior was even after being diagnosed because I was in denial. Now, today the rights are more frequent as well as the pain. The goal now is to try and live as long as possible with as little stress as possible. I'm still learning too accept the fact that I have this for life so I can motivate myself to do more than I have done to promote my well being"
"is treatment neccessary hepatitis b chronic","https://patient.info/forums/discuss/is-treatment-neccessary-hepatitis-b-chronic-718536","am chronic hepb positive , stage 2 fibrosis 8.1kps my viral load is 157000000 hbvml . is it really life threatening . doctor recommend me vemlidy? can my condition wait for treatment?"
"could I have Alcoholic Hepatitis?","https://patient.info/forums/discuss/could-i-have-alcoholic-hepatitis--708185","Hello! So I've been going to the doctor because my liver enzymes have been elevated. My doctor has been doing a lot of tests to see what is the problem, but I was just curious if it could be Alcoholic Hepatitis. When I was in college, for about a year, I partied every now and then (I would say like once or twice a month) but when I did, I would abuse the drinking.One time (about six years ago) I ended up in the hospital. The doctors said that I had ""shock liver"" due to the alcohol, and they said I could drink but never in that amount again. So, since then, I continued having a glass or two once in a while.I've been reading online about the possible causes, and I read that not every person with Alcoholic Hepatitis drinks heavily for a large period of time and also that sometimes it could be genetic. My maternal grandfather died of Cirrhosis due to alcoholism.I had told the doctors that I drank alcohol occasionally, and they know I had shock liver (since she was the one who treated me afterwards) but I'm now thinking she could not remember the cause.Now they are doing a lot of tests because they are leaning to Autoinmune Hepatitis.I would like to know if this could be my case. I see my doctor in three weeks, but I am already impatient. Btw, I haven't had any alcohol for months, but my liver enzymes are still elevated the same."
"Am I safe from contracting Hepatits B?","https://patient.info/forums/discuss/am-i-safe-from-contracting-hepatits-b--705099","Last night I engaged in sexual intercourse with a female. We realized after completion that the condom had ripped. She notified me after that she had been born with Hepatitis B and had it chronically but that her viral load is undetectable. I am 20 years of age and received all 3 rounds of the Hepatitis B vaccine. One at birth, another at 1 month after birth, and the last dose 6 months after birth. Am I safe from contracting the virus?"
"Please ?? Is the risk for hep and hiv with drugs only when sharing ? ","https://patient.info/forums/discuss/please-is-the-risk-for-hep-and-hiv-with-drugs-only-when-sharing--686375","i absolutely hate myself at the moment and im being annoying but i cant sleep at night nor can i function at work . my partner is over me speakinf about it as he says imnuts but imgoing crazy regardlessof people saying the risk is low , most of my friends take party drugs and i dont . last week at a party i decided to take one when my friends were and i used my own rolled up bank note from my wallet thinking i was being safe . i regretted the line and just drank the rest of the night . the next day i completely panicked and read up on iv and hep c risk from snorting drugs .my question is is the risk only when immediately sharing from one nose to the next which I didn’t do or is there a risk from using a bank note in general as they are so dirty and you dont know whos blood is on there from prior ?please help i cant function and i cant wait 3 months to test 😦"
"Transmitting hep be through sex","https://patient.info/forums/discuss/transmitting-hep-be-through-sex-667298","I am in my 30s and have hepatitis b but not active/undetectable, but a carrier. My girlfriend just had her second shots out of three. What are the chances of her getting hep b if we have I protracted sex. Would pulling out help or would it be fine to get off inside? If it is better to just wait until her third shot, we will do that as well. Any help is appreciated. "
"Do I need Hepatitis B treatment?","https://patient.info/forums/discuss/do-i-need-hepatitis-b-treatment--622562","Hi All,I am 33 year old male and new to the forum hence will start with Hello!!!!.. I need help/suggestions on the recent visit and discussion I had with my doctor on my test results and treatment he suggested.I have been diagnosed with hep B in 2008 since then I have been keeping an eye on viral load and ALT. Below are my recent test results:1. HBsAg Screen: Positive2. HBeAG: Negative3. HBeAB: Positive4. HBV Load: 3530 IU/mL (Log 3.548)5. Liver Ultrasound: Normal6. Liver Biopsy: Grade 2 out of 4 Stage 1 out of 47. ALT (SGPT): 29 IU/L (Normal Range- 0-44)8. AST (SGOT) : 21 IU/L (Normal Range 0-40)After looking at the result my doctor is suggesting to start treatment by taking viread (tenofovir tablet 300 mg).I am little concerned about starting the treatment as it is way costly. I am not sure if treatment is right choice at this moment. Kindly suggest if I shall look for second option before deciding on medication or shall I start the it.Thanks in advance for all your help..-Adi"
