"label","discussion_title","discussion_link","discussion"
"hernia","Hiatal Hernia and Panic Attacks(Need some insight)","https://patient.info/forums/discuss/hiatal-hernia-and-panic-attacks-need-some-insight--636044","Hello all!Before I begin:-No history of cardiac issues(done around 4-5 tests, all clear)-GERD for several years(Diagnosed 3 years ago)-No particular family history aside from late 60s diabetes and high blood pressure late life.-20 years old male, no drugs, no smoking, no alcohol, healthy diet-Only real issue? Stress and sensitivity. I've been suffering immensely due to an unknown illness. It'd cause long term tachycardia, general panic, insomnia, clammy cold hands, the whole slew of things. Generally what your body says when it wants you to know something is very wrong. I'd be fine one moment, and then suddenly have a weird feeling in my chest(turns out that was my hernia being pushed up from a stomach spasm) and then have a panic attack slowly come up. Of course, it's my body reacting to this, so it wasn't diagnosed as an SVT. I've had ALL the cardiac tests. Holter, Stress, Echo... You name it. I legitimately thought too many times that I was going to die suddenly and no one would know what was wrong with me. My heart would race and sometimes feel like it was going to just stop. I never passed out, it never happened without a precursor of panic(so if the tachycardia comes up SUDDENLY, like 90 to 160 in a couple beats, it's likely a cardiac issue). I starved myself in fear of having even more issues, but it turned out that it made it far worse. After year of being sick like this, the symptoms seemed to subside and disappear. I was fine for a while. I could run, do whatever with no issues. Then one day, it showed up again. Mysterious. I'd have runs of the same panic, the same chest pain, the same acid reflux...I took all the damn tests, but it was a hernia. The doctors demanded I take a CT to make sure, but I prefer not to have a huge dose of radiation at only twenty. I went to a chiropractor and had my stomach pulled and it got rid of all my symptoms immediately. All those 150-160 BPM panic attacks, all those sleepless nights, all those times when I swear I was thinking I was going to die... I'm far more sensitive than normal people. I notice things wrong with my body much more clearly and feel much worse. No one understood what was wrong with me(I had telltale signs of a hernia even then, back pain, chest pain, belching, acid reflux). A hernia that was missed by endo-scopy obviously isn't that big of a deal, right? Wrong. My hernia isn't permanent. It straightens itself out and cramps up repeatedly. It can come and go, but it comes with a vengeance when I have long term stress or if I stress my GI.The point of this isn't to say that doctors are wrong, or that you shouldn't trust them. It's just that if you want to be healthy, you have to do your own research and find your problem if the fixes aren't working(this sadly happens more often than not). PPIs made me feel worse. My stomach spasms cause hernia and this hernia makes me feel god awful like I'm going to die(panic attacks randomly). I'm having bouts of my hernia again, but when I use my chiropractor's method of pulling my stomach back down, VIOLA! No panic, tachy's gone, feelings of dying are gone. Stress is a killer for any disease for the stomach. A lot of people say that ""stress doesn't cause problems with health"", but stress affects the sympathetic nervous system and parasympathetic nervous system. It slowly breaks that balance and makes everything spiral out of control. The body's a well oiled machine and one part that breaks makes the whole thing stop working. The final thing I want to point out is that although there are set definitions out there of symptoms and various things for various illnesses, DO NOT TRUST THEM 100%.Everyone's body is different(if this is hard to understand, think of it like this; everyone's minds are different, right? So obviously, the way they handle things is definitely going to be different!). They may be the same anatomically, but the way they react to certain drugs and the like is VERY DIFFERENT. The was the main issue I have with the current healthcare system. Far too many times do people have horrible reactions to different medications because of misdiagnosis and drug rejection from their bodies. Some people experience heart attacks like they're chest discomfort and some people experience them like it's the end of the world. Some people don't even noticed GERD and some people have straight up freak-outs that are chalked up to anxiety. That aside, how is everyone doing with their hernias? Hernias generally are considered ""untreatable"" aside from surgery, but even to that, I find that a good lifestyle with activity can hold back even diabetes. I still get bouts of breathlessness(one in the middle of the night when my stomach is completely empty, but a glass of water tends to fix it quite nicely), but it's significantly better now that I know what's wrong with me and can get a hold of my own health. I'm just curious, how many of you hernia sufferers have felt this before? I feel like I'm the only one who has such violent symptoms from what I've seen. Thanks and good luck with your road back to health!-Dan"
"hernia","Incisional Hernia waiting fooperation","https://patient.info/forums/discuss/incisional-hernia-waiting-fooperation-738951","Helloi have spent some time reading online and there is so little patient advice from other people that are either going through this or have been through it.So in December 2019 I went to the GP as I was swollen and feeling uncomfortable thinking maybe a water infection as kept getting pain in my lower back and my right side where you would expect appendix related pain (my hernia is more left sided)GP says no water infection checked my swollen stomach and said no that is a hernia.Referred straight to consulatant who I saw end of Feb.By that point I was even more uncomfortable. Advised I would be added to the waiting list. I told him we had a holiday booked mid Jly and his answer was you will be recovered by then.Im now at the point where only exercise I can do is walking and if to far or too adventerous Im left very uncomfortable.I get back pain lowerStill pain on my right side especially when I need to urinate.I am constipated regularly this is something I have never suffered fromI am constantly feeling bloated like Im very pregnantI can feel movement inside almost like when you are pregnantWhen Im stood up it looks so big I am overweight last weighed at hospital 101kgs but have lost 12lbs at home since. That I find hard due to lack of exercise.I am working as do 7am - 2pm and have a sit down job.When I am sat its not too uncomfortable but when I stand its really uncomfortable and Im saying uncomfortable Im not in agony (3 children no pain relief)I am getting to point that I feel very sickly and Im debating asking if I can work from home due to toilet and been uncomfortable. I feel like a right moaner.I have a great husband and kids who are making the work load at home easier.Due to Covid no surgery bar emergency is going ahead, I can not even pay to go private as they also are not doing surgeryAny advice or help to make things any easierConsultant said CT showed opening of 6cms so would be open surgery advised I will be in hospital 2 / 3 nights and surgery will take 4 hours plus that all seemed alot to me.And 2 surgeons will do it.large incisional hernia is what it says"
"hernia","Looking 4 answers- bloated, trouble deep breathing, chest pains, GERD- Hiatal Hernia? Please respond","https://patient.info/forums/discuss/looking-4-answers-bloated-trouble-deep-breathing-chest-pains-gerd-hiatal-hernia-please-respond-731444","Hi All-I have IBS and GERD. Was having some abdominal pains and back pains a few months ago for which I had MRIs and they were normal. Had a CT scan a couple years ago which showed a sliding hiatal hernia (couldve been a barium swallow...cant remember). Started having trouble getting a deep breath in this last week (that I am constantly yawning to get one), fullness on left side of upper abdomen, and getting upper chest pains, belching, bloating. Had an EKG, chest xray, and cardiac ezymes- all normal. Almost feels like my diaphragm is irritated. Doctor prescribed an inhaler because I had described it as a feeling of resistance or constriction at the top of my breath. She thought it might be allergy related asthma. This is not feeling like asthma to me...or at least what I would think it would feel like. I have no wheezing either. Kinda feels like there's a cracking or popping feeling in my lungs on occasion at the top of my breath, but it could be my ribs. The inhaler has seemed to make all it worse. I can breathe better, but it causes more chest pains, makes my lungs sore, and makes my bloating and GERD worse. This last year has been a totally new experience with the IBS and GERD stuff. Ive had more gas, pains, and bloating then I've ever had. I've also experienced the difficulty getting in a deep breath...but this is a whole new level. It's slightly better in the morning after a BM and I can breathe a little better, but its still there. Anyone had this with a hiatal hernia? Trying to figure out what this could be. It came on very suddenly...and no...its not corona. Thanks in advance for the response!"
"hernia","Haitus Hernia Symptoms","https://patient.info/forums/discuss/haitus-hernia-symptoms-738878","I've had stomach pain, chest pain, back pain, bowel and bladder pain, and troubles swallowing for years. I am 27. Found out I had the hernia in November. Last August I drank too much carbonated water and I was vomiting for a week. I am so sick of this and the doctors tell me it's no big deal. It's actually just as bad as having a debalitating disease. I can do absolutely nothing. I can't focus. I am in pain and discomfort 24/7. The only way forward is surgery.I was just wondering if anyone here had similar symptoms to me or if you've had the surgery did it take the symptoms away?SYMPTOMS:trouble swallowing / excess saliva / constant need to swallow / lump in throat 24/7very thick saliva / sticky mouth and saliva 24/7trouble overcoming a deep breath / constantly out of breathesore burning throat / constantly need to clear throatsharp burning pain in the middle when bending over or sitting a certain wayheartburn / burning / sharp painssharp pains in bowel and bladder / not sure if this is related to herniaIf anybody else has this what are your symptoms?"
"hernia","Testicles Gigantic 5 days post surgery need suggestions ","https://patient.info/forums/discuss/testicles-gigantic-5-days-post-surgery-need-suggestions-738744","filled with liquid its firm , hard , painful , immobilizing .the rest is tolerable and improving including large incisioni know this is common but i didnt expect it to be this badhow long does this last? what can i do to mitigatethank you"
"hernia","Inguinal hernia surgery Tuesday. nervous !!","https://patient.info/forums/discuss/inguinal-hernia-surgery-tuesday-nervous--737936","i had robotic surgery in January that did not work. young surgeon, couldnt access hernia that is incarcerated four hours wasted timetuesday i am scheduled for open repair at columbia in nyc really concerned aseveryone talks about level of pain being significant what am i in for? its got to be better then having my intestinens n my testicles but i am 50 out of shape and scared"
"hernia","Has anyone found a no mesh inguinal hernia repair surgeon in Australia","https://patient.info/forums/discuss/has-anyone-found-a-no-mesh-inguinal-hernia-repair-surgeon-in-australia-738445","I found an older site on no mesh repair but am starting this new thread to see if there is any new information. I have bilateral inguinal hernias diagnosed last year, 2019. I want to have these repaired before the matter becomes urgent and I have no choice as to how I want them to be repaired.I have been looking for a no mesh repair surgeon in Australia but its like looking for a needle in a haystack. I have only found one in Sydney, Dr John Garvey and wonder if anyone has used him?I saw one surgeon in Brisbane who supposedly did no mesh repair with success according to an email sent to me by the medical practice, but when I went for the consult he had NOT done it at all, not in many years and was actually pro mesh - a total waste of my time and the expensive fee of $250 for the visit.Why are there no mesh surgeons here, especially considering the dangers of mesh some of which have been banned overseas due to their low quality.Women in Australia (and elsewhere) won a legal case in November 2019 for mesh complications used in pelvic floor repair - and thousands of cases are pending in the US for hernia mesh repairs.I think the mesh makes more money for doctors - 2-3 hour surgery, vs 45 min surgery for no mesh repair. Also doctors used to do no mesh repairs before mesh came along but have lost that expertise now.Its about time doctors were re-trained and performed no mesh surgery to lessen the horrific complications of mesh surgery which cannot be removed if something goes wrong.I welcome the views of others please."
"hernia","Pain after hiatus hernia surgery ? ","https://patient.info/forums/discuss/pain-after-hiatus-hernia-surgery--61715","I had fundoplication to repair my hiatus hernia 2 weeks ago. I've got over the surgery and no problem with swallowing but I think I've still got acid reflux. I've got chest pains, heartburn and an acid taste in my mouth. I know people will say that it can take time for the swelling to go down and the symptoms to go but to be perfectly honest I have had no relieve at all. I was expecting that after a couple of weeks for things to be a little better but unfortunately they are not. I am due to see my surgeon today to discuss my problems and hopefully he'll be able to give me some answers as to why it doesn't seem to have worked. Has anyone else had this surgery and not had good results straightaway? I was hoping to be well on my way to recovery by now. I wasn't expecting to still be getting symptoms. Is it possible for the wrap or stitches to have come undone so soon. I haven't done anything strenuous and I've followed the sloppy diet. Any ideas anyone ? Thanks Maria"
"hernia","Has anyone gotten their hernia mesh removed?","https://patient.info/forums/discuss/has-anyone-gotten-their-hernia-mesh-removed--558521","I'm finding it really hard to find actual people to discuss how they've recovered after having a mesh removed.I had an umbilical hernia. They inserted a 10x5 cm mesh in me, and it has ruined my life.I'm going to have it removed but it all sounds a bit dangerous.I want to find ANYONE that's had theirs removed and how the healing and recovery went?It would be a godsend to find someone else.Thanks,-Justin-"
"hernia","Post op laparoscopic bloating","https://patient.info/forums/discuss/post-op-laparoscopic-bloating-737833","I'm two weeks into laparoscopic inguinal hernia surgery and have quite a bit of abdominal distension and bloating still. Is this normal?"
