"label","discussion_title","discussion_link","discussion"
"Hypertension","can I eventually get off blood pressure meds","https://patient.info/forums/discuss/can-i-eventually-get-off-blood-pressure-meds-738377","I was just prescribed lisinopril today for my high blood pressure. For the last few months its has been consistently high, where as before it was always normal. It would range from 135-165. There have been a few life changes in the past 6 months, as well as a lot of new stress. I ruptured a disc about 6 months ago which gradually got worse to the point where i couldn't hardly walk for 2-3 months. Then after that healed I was laid off from work. I stopped working out completely at the beginning of the rupture as well. I noticed my blood pressure started becoming high around the time I could hardly walk which was about 3 months ago.My diet has never been the best and I am a smoker. But after all of this I am going to start watching what I eat and start exercising and try to quit smoking. I'm only 35 years old which makes me think I'm too young to be dealing with this.My question is, if I'm able to start exercising regularly and get my diet in check, and quit smoking, will I potentially be able to get off the medicine? Also will I be able to tell if my body doesn't need it any more if those changes help or will I just need to get off to know?"
"Hypertension","BP medication help?","https://patient.info/forums/discuss/bp-medication-help--736165","Hi everyone I've suffered high BP for approximately 4 years. Initially it was controlled with Rampril until the beginning of this year when Dr increased the dose. This caused me to develop a dreadful cough so had to come off it. I was then prescribed Losartsan which again didnt agree with me gave me dreadful headaches fatigue and dizziness. I started Amlodipine yesterday and woke up with dreadful headache sore eyes and had to have a nap after lunch! Is this worth persevering or has anyone any recommendations for medication without these dreadful side affects. Any suggestions?"
"Hypertension","Is this normal, trying to figure it out.","https://patient.info/forums/discuss/is-this-normal-trying-to-figure-it-out--733967","I am a 64 year old white female, hypertension controlled with medication since age 40, high cholesterol, high triglycerides. I have mitral valve regurgitation and mild pulmonary hypertension. My question is: sometimes I can be standing and all of a sudden it feels like I have just lost my breath. I feel short of breath for a few minutes and very fatigued. I am not able to do as much work around the house as I once did and tire very easily. I do not sleep well and am just tired all the time. Is there any reason to be concerned by this? Thank you for your time"
"Hypertension","Why does my BP rise in Utah in winter, vs east coast?","https://patient.info/forums/discuss/why-does-my-bp-rise-in-utah-in-winter-vs-east-coast--733223","I spend winters in Utah, skiing. I normally live on the east coast.When I go to Utah, my BP rises, compared to east coast BP. This has happened for 3 or 4 years. When I return to the east coast, it goes back to normal.One obvious guess is other lifestyle changes, such as change in diet. But I probably eat more salt when I'm home. I go to the gym less often in Utah. (Note: Salt Lake City elevation is around 4,500 ft; the ski area elevation is 8,500--10,500.)I am a 75 y.o. while male in generally very good health, with well-controlled HT.I've found some research that shows that BP rises with increased elevation, but there's not much on this matter.Anyone have any guesses? My Utah internist dismisses my observations, says he is not aware of increases in BP as a function of increased elevation."
"Hypertension","Headache/dizzy/nausea after eating","https://patient.info/forums/discuss/headache-dizzy-nausea-after-eating-725397","HiI was diagnosed with HBP about 2 months ago and been on the RX rollercoaster until finally ended up on valsartan 80mg/once a day. I have been eating extra healthy (veggies, egg whites, no extra salt, yougurts, nuts, whole grains, etc) since then (with some cheat meals in between). I have lost about 16 pounds but still don't feel great.Now I find that most times after I eat, within half an hour I get dizzy, a bit nausea and have an annoying headache in my temple area. I have not noticed any specific foods that cause this since most do. However, I am thinking it may happen more when I am eating something with higher sodium (since I cut out most of the salt in my diet).Its getting really annoying that after almost anything I eat (snack or meal) I almost immediately get headache and dizzy. Its manageable but annoying and will last all day.I do not have diabetes or any other conditions. Does this have to do with blood pressure? the meds? the salt? Trying to do everything right...and end up with different crappy symptoms 😦"
"Hypertension","One month into Hypertension, High BP anytime i sleep ","https://patient.info/forums/discuss/one-month-into-hypertension-high-bp-anytime-i-sleep-724691","Inam 40, was diagnosed with hypertension a month ago with 160/110. Have been on Nifecard XL 30 ml. But BP normalizes 125/85 until i attempt to lie. when i sleep, BP rises to 140-150/95-100 with 100 Pulse, It happens at least 3 times a week and have to do breath ins and hang legs on wall to manage it at 135/90, which means no sleep. Sometimes, i am rushed to the clinic for instant BP reduction med. At least once a week. Why does my BP rise at night, even if i take my nifecard 30 XL in the evening? Why does my BP rise in the afternoon when i sleep? i am now afraid to sleep."
"Hypertension","Blood pressure fluctuations ","https://patient.info/forums/discuss/blood-pressure-fluctuations-733053","I know everyone's blood pressure fluctuates all day. But how much fluctuation is normal? Mine can go from 156/75 then be 130/72, 126/70 and 142/80. All within an hour. Am I just supposed to average them and call it a day? I worry about the higher ones but they don't happen very often. I'm 72 and weigh what I should. A few months ago I started going for brisk walks every day to improve blood pressure."
"Hypertension","Hypetension in teenager, why?","https://patient.info/forums/discuss/hypetension-in-teenager-why--732737","I know i misspelled hypertension, sorryHello!This is a very brief summary of a long story so If it's a bit confusing that's why. Currently I'm 16, but about 3-4 years ago they noticed my BP was slightly elevated during a check up. Nothing extreme so they didn't do anything about it. However about 2 years ago I started experiencing quite a lot of shortness of breath, especially during rest, so I went to my GP and at that time my BP measured around 130/90. Still nothing extreme but quite high for a 14 year old. I did some lung tests but everything looked good so she sent me to a cardiologist just in case. During a physical exam he noticed that I had a very weak pulse in one side of my groin, I have no idea what that means but it's worth mentioning. I did an ambulatory BP monitoring which also measured around 130/90 as a daily average (If I remember correctly, I'm not sure) and later I also did an echocardiogram that looked normal. Since they couldn't find anything they assumed there wasn't a particular cause and no more tests were done.That was a while ago but the last few months my shortness of breath has gotten significantly worse and I've started experiencing other symptoms such as:-fatigue-dizzy spells where I have to sit down or I will faint-Increasing headaches-palpitations (although my heart rate is generally very fast, around 90-100 bpm sitting down)-ringing in ears, especially the right one-blurry vision, especially the right eye as wellSo i decided to see my doctor last week. These were my BP readings:146/110136/105130/103She did some blood tests as well but I haven't gotten the results yet. But as you can tell, it's my diastolic pressure I'm worried about. What could be the cause of this and could it be related to my symptoms? I'm not overweight and don't have any family history of hypertension or heart disease that I know of."
"Hypertension","Help","https://patient.info/forums/discuss/help-732355","In a dilemma with my blood pressure last 4 days results been 200/109, 218/121, 196/130, 193/119, 192/111, 180/109, 205/108, 195/110 last night was 191/107 this morning was 190/114 .Chest pain & jaw pain. But to scared to do anything about it because of corona."
"Hypertension","Age 24- Severe high BP on medication. help! ","https://patient.info/forums/discuss/age-24-severe-high-bp-on-medication-help--720955","Hello,I've had high BP for around a year.My numbers were around 140-160/90-100.I started 5mg amlopidine 1 week ago.On Friday I got my BP checked and it was 130/77 so I was happy and thought the medication was working.Today I went to a pharmacy and got the following readings:183/102193/108165/132after a while we got it down to 160/100.im soooo confused as to why my bp has turned from OK on Friday to malignant today!The pharmacist thinks it might of been stress and that the 165/132 may of been a glitch.But this is still very concerning.I confess that I did have a heavy weekend for 2 nights in a row and was tired today (could this be behind it).Ive passed on the numbers to my GP but I feel so stressed (not helping i know) and cant believe im getting these readings when im on medication.An investigation has already been ran on me and no cause could be found.😕 any words of advice or encouragement would be appreciated"
