"label","discussion"
"Otitis Media","A month and a half ago i developed otitis media. after treatment of 10 days antibiotics i still couldn't hear well from my right ear. The doctor then told me it takes time to clear and i should wait. My ear isnt in the condition it was but i still cant hear like my left ear. I went to another doctor he checked otoscopic and did a tympanogram. Everything looks good he said. My audiogram has a decline in 4000hz spectrum. After he told me that the be some damage to the nerve i panicked and tinnitus appeared the same day. But.. the weber test lateralized on the problematic ear. Which means conductive loss.Other than that i also feel my ear to be full or stiff I can't explain it. Also when i eat it pops and actually feels like pumping air. I dont know what is going on the only think i didn't check is my nose and throat.Anyone that can make any sense out of this?"
"Otitis Media","I will try to make this as short as I can and to the point.so I'm 30/M, and I have had ETD (self diagnosed) for 10 years now. we all know what comes with that; clicking, popping, pressure, tinnitus etc. For myself, that was and has been bearable .... up until now. My recent symptom that I have got is a constant low humming sound in one ear (right). it's the feeling you get when a rush of blood goes to your head when you stand up fast, after being sat down for a large period of time, but only with this, it is with my ear and it is constant. This is followed with some pressure in that same ear. Can anyone relate to this? Does anyone know what this could be? I do create a lot of earwax so I was thinking it could be 'impacted earwax""?"
"Otitis Media","Hi all, quick question I desperately need to see an ENT consultant as my GP can no longer help me. I am speaking to them today just to see if they can do this however usual wait for an appointment is months also we are currently in the middle of a pandemic. I'm from the UK, I can't wait weeks. Just wondering if there is anything that will speed up the process??"
"Otitis Media","hi all,I've just had my appointment with an ENT doctor who also specializes in vertigo and general dizziness.he also suffers with vertigo himself so has an understands what its like.he diagnosed me with BPPV and persistent postural perceptual dizziness.it was a consultation over the phone due to the pandemic which lasted 45mins but suggested we had a face to face appointment for an examination etc.. he didn't charge me for the initial phone consultation which was good of him.glad to be finally diagnosed. if anyone suffers with brain fog, fuzzy head and non vertigo dizziness read about pppd.if anyone needs his details please let me know.he was very helpful and said he has a 90% success rate with treating dizziness. he also said a little bit of alcohol could help"
"Otitis Media","I (17M) woke up with severe tinnitus 2 months ago and I haven't been able to see a doctor due to the pandemic. I was tired of waiting so I bought an endoscope to see inside my ears myself and my ear drums do not look normal at all (See photos below).A few notes:I feel pressure in both earsWhen I move my jaw or turn my head the tinnitus gets louder.It crackles when I open my mouth and when swallowing.I was prescribed antibiotics over the phone but they never worked.My ears ache now and again.There have been times where all of a sudden the tinnitus would spike incredibly loud and then slowly go down again over 30 seconds.I have tried nasal sprays for congestion.Pictures:"
"Otitis Media","hi i developed this rash yesterday luckily it went away today but still wondering what it could have been. looks weird"
"Otitis Media","Hello can anyone tell me what is wrong here? Very itchy and now sore. ringing in ear. is it an infection or healing from a poked eardrum?thank you."
"Otitis Media","Hi all, since the beginning of this year, I've been dealing with cold/flu-type symptoms. heavily blocked ears, increased difficulty breathing through my nose due to resistance, an occasionally sore throat, and persistently scratchy/raw-feeling chest. Generally, I feel rough, and lethargic.Despite being asthmatic, my breathing was becoming so difficult, that doctors increased my daily asthma inhaler dosage, which appears to have helped. They also prescribed antibiotics and steroids. Sadly, the ear pain persists. A large amount of wax has now thankfully come out of my right ear, using sodium bicarbonate drops on a regular basis. I've been seen by a doctor who said my right ear was completely clear with no sign of infection, perforation, scarring, or blockage, but later that night, I awoke almost deaf on one side, with even more wax oozing out, which has been consistently thick, sticky, and very dark. This was about the fourth/fifth large amount (each about the size of a large pea) that has come out over the course of a month, and I have had a great number of these blockages over the years, which have usually been irrigated. I don't insert anything down my ear canal, as I know this can make things worse.Right ear feels clearer now, to an extent, but tinnitus remains very loud on both sides. Strong and persistent feeling of pressure in my inner ears, temples and TMJs. A very small amount of clear fluid comes from my right ear, every now and then, even having stopped using the bicarb drops. Sensations of cracking and popping on both sides. I suspect, I probably have a nasal drip, too.Resistance in my nose is a real annoyance when breathing, and has been for years. I have had a camera up my nose relatively recently, which suggested that one nostril deviates to the right quite noticeably, but nothing was done to correct it. I also suffer from allergies, but don't think I've been exposed to anything which would trigger a reaction.To me, this all seems to be linked somehow, but I'm still none the wiser. Very grateful for any advice, as it really does affect my day-to-day. Would be good to try and understand how and why this keeps happening."
"Otitis Media","Hello,I have recently been diagnosed with a 25mm acoustic neuroma. I am a 33 year old female in pretty good overall health. The tumour is pressing on my brainstem. I live in Ontario, Canada. I saw the neurosurgeon today and was told it is at least a 10 month wait for surgery. i was told some people wait over 2 years. Any Canadians who had an acoustic neuroma receive surgery? How long did you wait? 10 months seems long!"
"Otitis Media","Hi everyone, not sure if I am posting this in the correct place, I am having some problems with a whistling noise in my ears and my balance, let me tell you how it all started, please bear with me, so about 8 months ago, I was changing the oil in my car, as I dropped the sump bolt out, quite a lot of oil went into my right ear canal, I got as much out as I could, I will come back to this later, I have since tried warm olive oil and otex in my ear and there is still bits of oil on a ear bud I when I use them, on Feb 26 if this year, I was driving on the motorway and started to feel off balance and had a panic attack due to this, now as I said earlier, I have a constant whistling sound in my ears, mainly feels like the right side and feeling off balance sometimes, my forehead sometimes feels quite heavy, and my right ear feels full/blocked, my question is, could this be down to the motor oil that got into my ear canal, my doctor says this is not possible, also about November I had a lump of sorts on the right side of my gum, dentist was sending me for hospital checks on it, but with this virus all my hospital appointments have been postponed, the lump has since gone, any help would be much appreciated thanksP.S, I was prescribed beconase spray to see if my eustachian tube was blocked, I used the spray twice daily for 2 weeks with no improvement"
"Otitis Media","I've posted before about a leaking ear. The GP said it was a fungal ear problem after the surgery took a swab and sent it for testing. The GP prescribed Caneston (which is very difficult to get in the ear when living alone). I must have put in too much which resulted in terrific discomfort and pain. I am now more careful but after 5 days the ear is even worse. Anybody successfully treated fungal ears. Sounds horrible!"
"Otitis Media","for the past several months ive had this going on.on and off i get a clogged blcoked feeling in my ears. i can hear myself breath particularly through my left ear and its quitete annoying. it causes me to deel the need to clear my throat and nose often. no pain. i went to a doctor two months aho and they told me it was ear wax cleaned it and nothing happened. along with thos i get the occaeional swollen glands in my neck and the need to swollow constantly to try clesr the swollen feeling.i dont have a fevermy nose isnt runny at alli dont have any ear painon occasion my neck will feel a little sore on my right side up under my jaw.i also grt a bitter taste in my mouth.my right tosil also seems a little swollen but ive only noticed this in the past day.Last year my mum passed,so could this all be stressed induced ?do i have an infection of some kind, tooth, ear, sinus thats not cleared for MONTHS?pls help"
"Otitis Media","My partner (36 y/o male) says his hearing is a bit weird today and that he feels like he's lost his hearing slightly in one ear. I suggested that it was earwax, but when I had a look I didn't see any obvious wax. He hasn't tried cleaning it out with a bud yet, though.I was just worried because I googled it and a website said that sudden ear loss in one ear was a medical emergency. I mean I think they were referring to complete loss in one ear but I am a hypochondriac so I am scared. He's being really blase about it though, and doesn't have any other issues. I believe his mum has ear problems -I think she has tinnitus and is going a little deaf and uses a hearing aid from time to time, but she's in her 60s. His Dad I believe has earwax build-up problems and has to have it removed occasionally. My partner has had wax build-up before but I can't see anything with my eyes anyway and he also claims he hasn't lost some hearing like this before (but he is pretty forgetful if I am honest so I wouldn't be surprised if he had).Anyone had a little hearing loss come on? What was it and is it safe to wait and see if it goes?"
"Otitis Media","Hello! Since maybe late February I've been experiencing a ear problem. It seems like my ear feels like it vibrates when its either a yell or a bark for about 3 seconds and goes away. I meant to go to the clinic but the with COVID around I rather not. I've been trying to think about what could have caused it. I searched up these pills I were taking called water pills because of my high blood pressure (148/95) and they are linked with tetanus. I've been doing little things to try to help turn it around (as I have for a while like drinking more water, fruits, exercise ect.) I try to wear headphones only when necessary. Something else I noticed is today, when I using a application I kept clicking a button and spammed it for like 5-7 times my ear would make a small vibration noise, maybe a second. Anyways, I'm afraid of working my summer job, construction, because of this. I do not know what to do. Will lowering my blood pressure help?"
"Otitis Media","I had an ear infection some weeks ago which cleared up, I thought, with Otomize spray from the gp. The infection returned but this time with yellow watery liquid seeping out and initially stabs of pain. Doctor took swab to send to hospital but have just learned after ringing myself that the result is ""normal"". The pain has gone but the ear is still merrily leaking yellow liquid. Anybody experienced leaking ears?"
"Otitis Media","So the other day I blew my nose and soon after I had pressure and pain in right ear like fluid or something else was clogged in there. I've been congested the past few days but I don't think this is connected anymore. It's now not painful but just pressurized feeling and uncomfortable with ringing. I can still hear out of it but not well. The other side of my head altogether is fine. It's been almost a couple days now and I don't know what do as nothing has helped. Breathing exercises and chewing has done nothing and when I strongly breath out I can hear the air going in with more muddy amplification than the other. If I make a vocal sound while doing this I hear it very loud from the inside. If I blow it and get something it's always a crackly, squelchy sound. No discharge or anything on the outside. I'm not having any nausea or vertigo/dizzy spells. Just full, uncomfortable, and ringing."
"Otitis Media","hi everyone ,Im 28 and Iv been suffering with an on going problem with my right ear with about 5 months.my symptoms are :hearing losspressure in ear esp when i bend over/stand up or go the toileta heartbeat sound that comes and goes throughout the day , can be worse at timesfeels like theres wind in my ear tooIv been to my doctor a couple of times , was prescribed antibiotics to treat a middle ear infection , didnt work.my doctor has me transferred to see an ENT and have been waiting a couple of months and have heard nothing. I believe with the Covid 19 I will be waiting sometime. I do not want to hasstle my doctor again with everything going on either.Has any one suffered something similar that may be able to shed some light to whats the cause or even any remedies ?Much appreciated"
"Otitis Media","Hi,I've had a blocked ear without pain for 10 days. I left it for a week to see if it went away, but no luck so was advised by doctor over phone to try Otex ear drops to soften the presumed build-up of wax for 10-14 days and then the wax can be removed by syringe. After 2 days of the drops, my ear now feels painful with constant 'pressure' inside. I also can't hear anything out of that ear. Is this what normally happens with ear drops? It also seemed odd to me to have to apply drops for so long before anything can be done - it's so uncomfortable I don't know if I'll be able to manage for nearly 2 weeks! 😦By the way, I have only spoken to my doctor by phone because I'm in a vulnerable group for COVID-19 and didn't want to go to see him in person because (at that time) my ear was just slightly blocked.Any advice or similar stories with resolution would be much appreciated. Thank you."
"Otitis Media","Hi,I have advanced periodontal disease (periodonitis) and am wondering if anyone has experienced or knows of a correlation between the periodontal and tinnitus?Also have what feels like ears being blocked, ear pain, and loss of sense of taste.Also mouth and neck pain.These symptoms have been present for about 4 days now."
"Otitis Media","About 4 months ago started feeling light headed no spinning just feeling like I'm drunk! I have lots of crackling and popping in my ears but left ear doesn't pop! Feels like it's blocked! Had blood test allFine also had audio testing done hearing is all fine but left ear pressure is 25 per cent less than the right ear!! My symptoms have not really got any worst but not really any better tend to get lots of headaches on and off but not too bad! Does anybody have any ideas what could be causing this or had similar? Would love some advice please!About 4 months ago started feeling light headed no spinning just feeling like I'm drunk! I have lots of crackling and popping in my ears but left ear doesn't pop! Feels like it's blocked! Had blood test allFine also had audio testing done hearing is all fine but left ear pressure is 25 per cent less than the right ear!! My symptoms have not really got any worst but not really any better tend to get lots of headaches on and off but not too bad! Does anybody have any ideas what could be causing this or had similar? Would love some advice please! "
"Otitis Media","Hi all,After having ear micro suction done for ear wax back in Feb , I developed bad ear pain with discharge and the GP diagnosed a perforation ( right ear )I was advised to wait for natural healing but in March had to call GP as had ear and facial pain and a constant wet ear. By now my hearing was very muffled but only on right side.Due to coronovirus I couldn't go to surgery so was prescribed Amoxicillin and advised to give it longer to heal.Things didnt improve so the surgery agreed to see me last week and the nurse confirmed I still have a 2mm perforation.I was prescribed sofradex ear drops, but couldnt get them at any pharmacy as they are dis- continued !Phoned back GP who advised give it another 2 weeks.Its driving me mad ! Cant hear properly, ear ache comes and goes and still feels sticky ( especially on waking )Had anyone had this ? How long did it take to resolve ?My GP did refer me to ENT (who didnt see me in person) they contacted to advise eardrops and time .I had to pay to have my ear de waxed as its not available on the NHS now.Wish Id never bothered now.Thanks in advance"
