"label","discussion_title","discussion_link","discussion"
"Piles","Please help! Is this haemorrhoids / piles??","https://patient.info/forums/discuss/please-help-is-this-haemorrhoids-piles--738712","sorry for the picture but im freaking out and cant get to a doctor. what is this?? its like one small piece of lose skin and a lump "
"Piles","fissurectomy/hemorrhoidectomy experience ","https://patient.info/forums/discuss/fissurectomy-hemorrhoidectomy-experience-738342","I wanted to share my experience with both my fissurectomy surgery (aug 2019) and my hemorrhoidectomy surgery (may 2020) in the hopes that this might be helpful to others. My fissurectomy was a year ago so i’m a little hazy on the details but will try my best.A little background on me: I’m a 27 year old female who’s been dealing with hemorrhoids for the last decade (ugh). They were internal but would prolapse during a bowel movement and would have to be manually pushed in. I tried adding more fiber to my diet but I don’t think I tried hard enough and basically just said ‘I’ll be dealing with this for the rest of my life’. I was too embarrassed to talk to a doctor about it, and they got worse over the past ten years (more of them, bigger in size, more difficult to push in, etc).The straw that broke the camel’s back was actually not that my stools were too hard but rather too LOOSE. I had a bout of diarrhea that lasted for a few months (I know, that’s a long time) and that, combined with the hemorrhoids, gave me a fissure in june 2019. The fissure was the most painful thing I ever dealt with and because I didn’t undertand what it was – and thought it maybe was from hard stools – I took laxatives and that tore the fissure even more. It stung during a bowel momvenet and for the entire day after, sometimes 2 days after. it caused spasms in my anus. I was so afraid of pooping, I only pooped every other day (I usually poop every day). I had to drop out of a lot of commitments due to pain and I was constantly shifting my weight when standing/sitting because I couldn’t get comfortable. I was in such pain that when I saw my surgeon and she tried to schedule me for a fissurectomy a week away, I said it had to be sooner than that and started crying. She obliged.My colorectal surgeon scheduled me for a fissurectomy in august 2019. As for the hemorrhoids, she suggested we do a few banding sessions in the coming months to get rid of them to avoid invasive surgery. My fissurectomy surgery itself was painless – I went under twilight anesthesia and didn’t feel a thing. They also did the first series of banding while sewing the fissure. The pain I was in after the surgery was bad– I actually found he painkillers (percoset) did less for my pain than just hot baths and extra strength Tylenol. Finding the schedule was key - I kept on a scheduled of 2 extra strength Tylenol every 6 hours and baths throughout the day, especially after a BM. I would wake myself up in the middle of the night to take my tylenol and a bath. I also took 2-3 stool softeners. I remember having a BM the day after surgery and it was SO painful – felt like my fissure was still irritated and I felt the rubberband around my hemorrhoid. I took a laxative (milk of magenisa) to get it going. I had to strain because I hadn’t yet figured out how to fix my diet. The BM’s afterwards were less painful, but still some pain to them. A horrible stinging pain and some blood. It really sucked. The good news is a week later I was able to resume my activities, but I still had a stinging sensation throughout the day. I also only wore dresses because shorts and pants irritated the wound. And pooping still gave me anxiety because I knew it would hurt during and sometimes afterwards for the rest of the day.The most frustrating part of my fissurectomy honestly were the months where I was recovered enough to go back to work etc but was still in stinging pain for the day after every BM. this lasted…I’m sorry to say….for a year. It was better at times and worse at times, but I still felt it, with the exception of maybe a month in january where I was ok. The reason for this is that I had prolapsing hemorrhoids WHILE trying to recover from a fissurectomy. So every time I had a BM, the hemorrhoid would pop out, irritate the fissure wound, and it would prolong the healing process. Additionally, my surgeon couldn’t do any further banding surgeries until my fissure was more healed. So I was kind of stuck in this cycle where my hemorrhoids would irritate my fissure, my fissure couldn’t heal, we couldn’t band my hemorrhoids, so the hemorrhoids would irritate my fissure, my fissure couldn’t heal, etc.A few things really helped me during this time (keep in mind my problem was LOOSE stools not HARD ones):Now, it took me a while to figure out all of these things – so my fissure healed reaaaaallly slowly and we weren’t able to resume banding surgeries until mid November (again, my surgery was in august). I had a really bad week in october with some loose stools and very bloody BM’s and pain for days, where I thought I would never recover. But using everything above (Especially apple sauce and heating pad) helped.I should also note that - with a few exceptions – incorporating the fiber gummies into my diet meant I spent around 10 min on the toilet. That was awesome. I was still able to eat almost everything I wanted and drink and even do the occasional drug lol. And have sex! Although probably taking those things out of my diet may have helped me heal faster…..hindsight’s 2020 lol.The banding surgeries helped – they definitely shrunk my hemorrhoids, which meant they stopped irritating the fissure! We did about 8 bandings, 1 every 2 weeks. A note about banding surgeries: I find if they’re successful (as in you really band off a significant part of your hemorrhoid), they will hurt that day. It’s not a horrible pain but it’s a cramping feeling, and it does decrease over the hours. the first hour can make u feel kind of sick. you’ll likely be ok either that night, the next day, or at the very latest 2 days after. Sometimes the banding didn’t hurt at all and I was able to go right back to work – but that usually meant it wasn’t a very successful surgery.After about 8 of these, it became clear that my hemorrhoids – though smaller than they used to be – would not go away without a hemorrhoidectomy. At this point, I was fairly pain free but still wanted to get rid of them, as they still prolapsed during a BM. So in early march, my surgeon scheduled me for a hemorrhoidectomy that would take place in late april.Then, coronavirus hit lol. So the surgery got rescheduled for late may. While waiting for late may, I began to experience pain again. The thing about banding surgeries is that they sort of ‘shift’ the hemorrhoids down there so to speak. So while my original fissure had healed, the hemorrhoids were now pushing up against the right side of my anus and causing another stinging pain. I thought maybe it was another fissure, but that seemed kind of extreme. It also could’ve been that the skin on the hemorrhoid itself was irritated and was causing some blood and pain. I picked up taking baths after every BM and sometimes only pooping every other day. The pain increased over the months but luckily I knew this surgery was coming up so I didn’t have as much anixety.The week before the surgery I stopped eating meat and stopped drinking (this was hard, I love to drink). I had read all these blogs so I was really prepared for THE WORST. I gave myself a Fleet Enema the morning of my surgery, so I was all cleared out and didn’t have to take a BM that day or the day after.The surgery – again – was painless as I was under anesthesia the whole time. I got home and felt alright. I took my first hot bath and took out the gauze packing which was uncomfortable but ok. as the anesthesia wore off, I started to feel the pain. It was more like a soreness/sensitivity rather than the stinging pain of the fissure. I preferred it. I took an oxy – which didn’t really help – but then had to wait to take tylenol. I took multiple hot baths and ate only fruits and vegetables that first day/night. The first night was rough because I wasn’t staying on top of my pain with medication – oxy wasn’t working but because I took an oxy, I had to wait another 6 hours until I took a Tylenol. That was torturous. As soon as I figured out my pain med schedule (2 tylenol and 3 advil alternating every 4 hours) pain, things began to get better. Additionally, the 1st day and night that area felt VERY tight and I felt super bloated – even passing gas was hard and I could only do it if I strained a little and was in the bathtub (a stitch came out this way – not sure if that’s normal or bad….). I was like how am I EVER gonna poop?? But the next day I felt a little less bloated and the next day even less after that.So now I’m on day 2 (if surgery was day 0) and I had my first BM today – it was very small and I had it in my sitz bath and then hopped in my regular bath after. It felt like I was passing a much larger stool but when I looked it was small. It was uncomfortable and sore afterwards but I have to say, after the experience of the fissure, I think I’m equipped to deal with this kind of pain. It was easier than fissure pain, much easier. There was some blood but honestly it was all right. When I pooped with a fissure and right after fissure surgery, I was screaming in pain. This time I was able to be quiet 😃Right now, I still cant really sit up unless I’m in the bath, moving causes some pain and discomfort, but if I’m lying down I don’t feel pain at all. Which is kind of incredible. I have slight bleeding but nothing terrible. I’m a little worried about getting backed up and wondering if I should attempt to have a BM every day or every 2 days. Ive also been eating very lightly so as not to have a painful BM but my weight is very low and when it dips below a certain point, things start to go haywire.So far, here is what has helped meOverall, I’m not necessarily glad I’ve been dealing with these issues for a year but I am glad I had my fissurectomy surgery before my hemorrhoidectomy because I am so much more equipped to deal with the pain and I know so much more about my diet and bowel habits. I would say if you’ve been through the pain of a bad fissure, this will feel much easier.I’m not even going to get INTO skin tags yet because my butt has looked so weird since my fissurectomy and they kept saying it was because of the hemorrhoids and the extra skin, so we’ll just see if it looks normal when all this is done. I heard someone say that wherever you’re at in 5 weeks is likely what you’re stuck with. We’ll see.I’m pretty sure the new stinging pain I was experiencing right before my hemorrhoidectomy was a hemorrhoid and not a new fissure – theres certainly pain in my butt right now but none of it feels like that pain. Time will tellI will update in a week or so, hoping that recovery continues to be alright and I continue to improve. Really glad I found this website, it helped me SO much, so I’m trying to pass it forward. Feel free to respond with any questions or any guidance! If youre going through it at the same time we can be penpals!"
"Piles","Thrombosed hemorrhoids / hemorrhoidectomy / Anal Fissure","https://patient.info/forums/discuss/thrombosed-hemorrhoids-hemorrhoidectomy-anal-fissure-738068","HelloCan anyone give pain comparisons between the followingThrombosed HemorrhoidHemorrhoidectomyAnal FissureIf you've already suffered with Throm Hem and Fissure will the Hem Op be worse?"
"Piles","Anyone had Phenol Injection for Haemorrhoids?","https://patient.info/forums/discuss/anyone-had-phenol-injection-for-haemorrhoids--738067","HiHas anyone had Phenol Injection for Haemorrhoids?If so was it painful? Successful?Any feedback would be appreciatedThanks 😃"
"Piles","Hemorrhoid HAL RAR procedure","https://patient.info/forums/discuss/hemorrhoid-hal-rar-procedure-738152","Hello! has anyone done a procedure called Hal Rar for piles. i have big internal piles and so scared of doing hemorrhoidectomy. Thanks for the response"
"Piles","My hemorrhoidectomy recovery","https://patient.info/forums/discuss/my-hemorrhoidectomy-recovery-630143","Hi there, this is my first time posting to a forum of any kind regarding this issue, I have however read countless stories from all different places (over 99% horror stories) in the last couple of years. This post is to share my personal experience, answer any questions and also to get some feed back from people who have had the procedure done also. Forgive me in advance for the long post but I am trying to be as detailed as possible. First of all, I am a 33 years old male, 5’6 and 110 lbs. I have suffered from hemorrhoids since my teen years but within the last few years they have seriously affecting my life. I had 2 very large grade 3 internal, 2 external hemorrhoids and an extremely painful anal fissure. I had the 2 internal ones banded in April of last year but it didn’t work. My surgeon suggested that I do a complete Hemorrhoidectomy of int and ex hemorrhoids along with a sphinterotomy, HOWEVER, I have decided not to do the sphincterotomy because I was afraid of getting incontinence. DAY 1: I woke up in recovery at 6:00pm in excruciating pain, was given dilaudid thru IV with no relief and again about 15 mins later and then fentanyl about 10 mins after that and then 10mg of oxycodone by mouth, all which didn’t even touch the pain. I was then taken back to my room to get discharged. While waiting for the discharge nurse I decided to try to urinate but only a few drops came out. I then Signed my discharge papers and was wheeled out to my car and my father drove me home. During the car ride home (about 20 mins) the pain was still the same, I got home around 8:00pm, took stool softeners and ran a bath which offered some welcomed relief, repeated the bath about 30 mins later, ate some soup and crackers and took my second dose of 10mg of oxycodone and 1,000mg of Tylenol at 10:00pm. As I am writing this post it is 11:30pm and am in the bath again (3rd Time since I’ve been home). I Also would like to add that I am using extremely hot water because that seems to help better but am wondering if that could be harmful to the surgical area (any input would be greatly appreciated). The pain meds make me really tired but am not able to sleep for more than 15 mins because the pain wakes me up. All in all so far it is every bit as painful as advertised and i ABSOLUTELY DREAD when I have to have my first bowel movement. I am hoping that this doesn’t become one of those horror stories but so far it has been. But on the bright side, it has only been about 6 hours post op. I will be updating this frequently so feel free to any questions. "
"Piles","Pain, Bloating, Bleeding, Swellin and more...","https://patient.info/forums/discuss/pain-bloating-bleeding-swellin-and-more--738110","I've suffered from Hems/Fissures since the ripe age of 17 (im now 32)I've also done the dreaded proctologist visit many time with the same advice, more fiber more water more exercise and less coffee and I have always maintained those habits which has led me to think my rectal issues directly correlate with my stress and anxiety!Since this Covid lockdown began i have been suffering. Every Single bowel movement I've had has been painful and extremely bloody. My backside feels like its ripping. after a bm i use wet wipes, take aleve, take a body shower and ice myself and begin to feel relief. I also regularly soak in the tub and do everything in my power to reduce stress. and this morning i attempted to go and am constipated regardless of no change in water and food intake so i couldnt go! Now im bloated, in pain and anxious to go and im so tired of suffering with this 😦I need support!"
"Piles","Please help, apologies for the pic","https://patient.info/forums/discuss/please-help-apologies-for-the-pic-726059","ok where do i start.. 4 years ago i had banding done and removal of a large skin tag. the banding was horrific and unsuccessful. move forward to now i have finally built up the courage to see another surgeon to get something done about them. over the christmas break i was that severe i couldnt sit normally for 2 weeks and i suffer so bad still now. i apologise for the pic but i dont know if these are bad or not. they are for me i spent hours crying. im not constipated and dont sit on the toilet for long either. now for the last 8 days i have been bleeding. i just sit on the toilet and they bleed, i pass wind and they bleed. they are sore and painful and no creams help at all. i see the surgeon in 6 days and counting down. i just hope i dont have a long wait to get rid of these horrible things"
"Piles","Haemorrhoid Surgery. Advice. Panicking. Anything Positive?","https://patient.info/forums/discuss/haemorrhoid-surgery-advice-panicking-anything-positive--737946","If anyone could please offer advice if i should proceed with haemorrhoid surgery as all these posts about how terribly painful it is makes me cry. I dont know if i could cope.I dont even know what the operation will entail. Surgeon said will do examination under anesthetic and do what needs to be done.Had small fissure which resolved and 3 months ago had rubber band ligation for 2 grade 1 internal hems Then developed thrombosed hem which is not resolving. Comes and goes regularly. Some really bad days some ok.Im terrified about everythingIs there any positive stories out there?Is the pain relative to size/number/location of hem or just bad in every case scenario?Is the pain just with BMs or constant?Any advice is greatly appreciated"
"Piles","Hemorrhoids for a 26 year old","https://patient.info/forums/discuss/hemorrhoids-for-a-26-year-old-737199","Normally a healthy 26 year old.Attended a doc in Jan Feb time about rectal bleeding.Did a rectal exam and couldn't see anything and put it down to a fissure and advised to make a dietary change.Fast forward still experiencing this along with a fungal skin infection around the groin which is thankfully lifting.It's mostly painless rectal bleeding very odd time you can feel the motion rough but very rare. When I have a smooth and soft motion there's hardly any blood to a minimal amount belut if I pass a harder motion there could be anything again from a small amount to sometimes quite a bit.With it being painless would this not suggest some internal hemorrhoids? I've tried anusol suppository which when I did try bleeding wasnt that much?Can blood vary with internal hemorrhoids?"
