"label","discussion_title","discussion"
"Renal Failure","Kidney function declining rapidly","Hi everyone,For quite a few months I've not been feeling right. Mainly just unbelievable fatigue, but i run periods where my heart rate fluctuates like crazy, i get palpatations, my appetite just isn't there though it hasn't resulted in weight loss. I had sustained hair loss and i would often get a weird dull feeling on my right side of the back which would at times creep towards the front.I went to the GP in January after having had a period over Christmas feeling very ill with also now daily having had runny stools daily.She ran some blood tests which just showed very low Vitamin D.My iron was stores were high but normal, potassium, albumin, phosphate were all high but within normal range. My creatine was 62 and my gfr was 90.I was given Vit D tablets and sent on my way.Come March I still wasn't feeling right but then lockdown happened, and by this point my heart issues were becoming really pronounced. So after waiting a while longer i went private and had some more blood tests.This time it came back that my creatine was 115, gfr 50, Albumin53, bilirubin now showing up as an issue at 23.Also my iron stores were higher than normal range now.I drink plenty of water, especially now that I can't just pop into any store so I'm certainly not dehydrated.I am not on a high protein diet and nor am i on any medications. I stopped taking the vitamin D when my course ran out in Feb. Any ideas on what this could be? The nurses just seem adamant that it's I am dehydrated and eating a lot of red meat and tell me to retest in 90 days.I am concerned that if i have dropped so much in function in 4 months, come 90 days I'll be worse off."
"Renal Failure","End stage kidney failure","This may sound weird but I'm looking for information about what a persons goes through, physically, when they are about to die of kidney failure, as they tell me I am.Since dead people are hard to communicate with, I was wondering if anyone here has had the experience of going through this with a friend or loved one.I would like to know what, if any, pain is suffered and what physically happens to the body near death.What changes are expected and if there is a time line to the process.I know this may be a tough question for some people, and I apologize in advance, but it's important to me. No, I decided to NOT go through dialysis so no use bringing up the subject.Thanks"
"Renal Failure","Foamy Urine, 16 years old.","Okay so here are the basics:I am 5’11, 180lbs, 20% bodyfat. My blood pressure is 115/70 and my resting heartrate is 68. I had a urinalysis for my foamy urine about 8 months ago but the tests came back fine and I was told not to worry. To this day I still have foamy urine almost constantly (except some mornings). If I drink more water or pee on the side my urine remains foamy. I have no symptoms of swelling or any pain, shortness of breath, etc. and my symtpoms havent worsened over the past 8 months. Any ideas? Im going back in 2 weeks for another urinalysis and a blood check (I had a physical schedueled and thought why not get my blood checked). Any ideas?"
"Renal Failure","Forum/help pls specifically for IgA Nephropathy ? ","Hi everyone. I hope someone can help me please. My 22 year old son has been told he has IgA Nephropathy and his kidneys are functioning at only 30%. He has a biopsy scheduled for next week. I am devastated. He is fit and well with no visible symptoms and this has come completely out of the blue from a medical he had to join the Police. They found microscopic traces of blood in his urine and quite high levels of protein. His BP is slightly raised so he’s been put on ACE Inhibitors. He feels his life is over and we are all so scared. The insensitive specialist even asked him if he realised how serious this is. He had secured his dream job with the Police and now he’s been told he will never be allowed to join the Force and is facing certain dialysis and transplant. We just don’t know where to turn for advice and support. "
"Renal Failure","Help I have a potassium phobia!","Hi I'm 48 and take 20 mg of Benicar. My blood pressure is around 95/65 and my GFR is only 74 (should be 99). Also, my potassium is 4.2 (range 3.5-5). I read that as kidney disease gets worse it becomes harder for the kidneys to eliminate potassium and so I've suddenly become afraid of eating anything with potassium in it, and just about everything has potassium in it so I'm afraid to eat anything for fear of developing high potassium levels. Someone please tell me I'm crazy. I've been in a total panic for 2 days and I can't eat much. I'm drinking water and eating white rice."
"Renal Failure","My mom passed aug 26 she would of been 82 aug 27 kidney failure last 2 weeks were tough. Miss her!","keep praying for strength and to help you to endure through this hard time. look at it as your mom resting and she on a destination, God took her to get fixed. and will bring her back healthy . hang in there."
"Renal Failure","Prostate pill lowering my gfr","im a 54 year old male my doctor told me i had kidney disease, my gfr was 54 so i changed my diet and my gfr went back up to 88 but now im having prostate problems i was urinating every two hours at night so i was prescribed terazosin , ive been on it almost a year and now ( and im still urinating every two hours at night its not working) my gfr went down to 71 , does anyone know any alternatives to terazosin maybe herbal supplements , saw palmetto is suppose to hard on the kidneys any imput would be appreciated thank you"
"Renal Failure","CBD oil and CKD","Hello to everybody, I'm new to this forum. I'm from Slovenia and I have CDK Stage 3. Did anybody had any expirience or knowledge abut usage of CBD oil wit h CKD. I had only one info :The research was led by a team at the Icahn School of Medicine at Mount Sinai in New York, who studied kidney disease progression in cannabis users. They found that chronic kidney disease (CKD) patients’ kidney function declined faster in those who used cannabis, compared to those who did not.But this research mentioned only cannabis users, no CBD oil, which has nearly no THS, according to our legislation less than 0,2%."
"Renal Failure","COULD IT BE KIDNEY DISEASE","Hi. I'm a 52yr old female & i'm terrified i may have something wrong with my kidneys. Only this morning i went to the toilet as usual & noticed that there was no colour in my urine. It was literally the color of water. Through the course of the day i observed the colour everytime i urinated & only twice did it have abit of normal yellow to it. I live in australia & i rang a nurse & she did an assessment & said that it didn't sound like kidney disease although admitting that she couldn't give me a definitive answer (obviously). I don't have any other symptoms such as swelling in ankles or under the eyes, itchy skin & so on but i'm concerned about the lack of colour as iv'e never had this before. I am making an appointment with my local doctor if things don't improve. Any advice of anyone having anything similar & what was the outcome."
"Renal Failure","Sharon, 60 stage 4 CKD and end stage decompensated cirrhosis with ascites","Hi, my name is Sharon, age 60, from Cape Cod MassachusettsI am a hot messI have decompensated end stage cirrhosis with ascites.I decided not to have a liver transplant. I do not feel confident in my ability to recover from the surgery. It has a lot to do with also having stage 4 CKD. I don't feel confident in doing dialysis because liver disease is killing me, do I want to use what little bit of quality of life I have left in a dialysis center?THAT is my questionWhat would you do?"
