"label","discussion_title","discussion"
"Stroke & Tia","Dizziness, Low blood pressure","HiAbout 4 years ago I had a mini stroke and so I take Atorvastatin 40mg , Clopidogrel 75mg and the doctors gave me Lansoprazole 30mg along side this medication and also i have digestive problems so i have to take bisacodyl 5mg.i have severe dizziness and my blood pressure is very low, sometimes the device gives error. i had a fall because of dizziness that's how bad it is.The doctors don't understand the problem but one said i have to get my hormones checked but after a blood test, another doctor at the gp said my cortisol  levels are fine and i dont need hormone check so they didnt refer me.i would be happy if anyone can help"
"Stroke & Tia","huge discomfort blow left rib","31/2 yrs ago I had a mild stroke. The morning after I felt a small discomfort on my left side just below my rib. The dr looked and felt but could see or feel nothing. Said it may just go away. Gradually the discomfort got worse and now is sometimes unbearable. It is always present and has indeed reduced my quality of life to a great degree.I have had CT scan, virtual colonoscopy, endoscopy, chest xray and ultrasound. All negative. I have seen a neurologist and 2 x gut consultants, again nothing.After all that NOBODY has the slightest idea what is wrong. (this is a time when everybody seems to give up on a patient!)The discomfort is just like as if someone is pushing their first firmy into the area immediately beneath my left lower rib and I tend to be automatically holding my hand, with some pressure on it, all day for somekind of relief.Is this a nerve or a gut problem, or anything else and perhaps npthing to do with my stroke after all?I now have to 'get out of my pram' to get any further tests done. Doctors switch off. Have you tried to push treacle through dry sand?!I am 67. Has anyone else suffered this problem please?James"
"Stroke & Tia","Just experienced a TIA at 35; feeling lost and confused","Hi, hope everyone here is starting out another wonderful day.  The best way to start is usually at the beginning so here goes.  Over a month ago, September 18th, I had sudden strange symptoms that came on with no warning.  It started with an immense tightness and pain in my chest, followed by dizziness and an inability to control thought and process.  after a while the pain dissipated but I was stilled plagued by the aftershock of symptoms that followed.  There was.no drooping of the face or limbs whatsoever, although I couldn't maintain steady thought process and my entire.personality seemed to have been changed.  Normally Im a very artistic and articulated person but that seemed to have vanished.  the awkwardness and fear has been overwhelming at times and although I have been to the ER and after an EKG, having a CT scan done, and been told that no swelling or bleeding could.be found in my brain, I have.not been the same.  I still continue to work full time, but I am not the same person I was.  At the moment, I'm still waiting for results from blood labs that my regular physician recommended and I have had no real change in my symptoms.  Many of the hobbies which mostly include passing guitar and music and reading I can't enjoy any longer because of the lasting effects.  I will admit that I blame myself largely.because I have not been a very healthy person and I take full responsibility for that obviously.  But I am not sure what to expect from here on out and am intensely afraid that it may happen again.  I dont really have anyone to turn to and I appreciate anyone that can.give me their insight on this.  I apologize for such a long.topic.  I greatly thank and appreciate anyone who can help answer even a few questions.  Have a wonderful day!😁"
"Stroke & Tia","TIA...but no Meds?","hello...Numbness across left side of face...left part of upper lip felt like it was trying to move down & across to the other side...dizzyness & shakyness...then heart palpitations & shortness of breath.  Hospital said it was a TIA, but by the time they performed a CT Scan of my head the conditions were largely gone.  My scan results showed that my brain was fine, but they wanted to hold me over the weekend & do an MRI on Monday (at which point I checked myself out, promising to have one done on the outside).But...they never gave me a prescription for a blood thinner; & I read online that most TIA's are caused by clots; & that most people who experience them should be placed on blood thinners right away.  Is this true?Also...I still have a very slight numbness on the left side of my face, with a slight pain that occurs every now & then above my right ear.  Going to my primary today, to get a referral to neurologist...but am concerned that this could happen again; & am wondering why the hospital didn't put me on blood thinners.  In the past 2 years I have lost 50 lbs. & have been eating right & getting as much exercise as possible...so I'm wondering why this happened to me in the first place.thanx,mark4man"
"Stroke & Tia","Scared of stroke","I have had terrible health anxiety for the last year and just lately it has got to crisis point. From finding lumps to pains in my chest and now a tingling sensation and numbness in the left hand side of my face.I am scared I am going to have a stroke or brain aneurysm. The more I think about it, the worse the tingling gets....At my wits end. Constant stress about health and dying is literally killing me. I am nearly 50 and this is a dangerous age, which is just adding to the problem.Seriously need some help."
"Stroke & Tia","TIA or  migraine","Hi all,  Im a 63yr old generally fit lady.  I was driving to the gym when I noticed a w shape in my peripheral vision and I couldnt see the last letter of the numberplate of the car  in front of me  nor anything to the right of it.  All was well on the left side.  I had been lightheaded for a few days beforehand but otherwise well.  I saw an opthalmologist, nothing found, had blood tests, all well, CT scan and ultrasound of my arteries in my neck all good.  Im waiting for a 7 day ecg to check my heart.  My cholesterol and blood sugar levels are normal.  The only issue is my blood pressure had risen to 140/95  my normal is around 115/60  A stroke specialist told me it could be an occular tia or an occular migraine.  Ive been put on lifelong treatment for tia clopidogrel and a statin, since taking the clopidogrel I feel like Ive got flu and cant function.  I havent taken the statin yet as the doc said it was up to me if I want to try it as evidence for its usefullness is mixed.  Im shocked to end up on medication for life as a precaution and wonder if anyone else has had a similar experience of this or any experience of taking clopidogrel?"
"Stroke & Tia","Stroke, Tia or Hemiplegic Migraine?","Hi EveryoneI have been diagnosed with Hemiplegic migraines, and have been getting lots of Auras in the last month.  So havent felt right and am always tired.yesterday, I woke up in the afternoon, and I had tingling down rightside of my body.  my right arm was very shaky, so immediately took some Aspirin. The top of my right cheek was twitching too. Within half an hour of taking the Aspirin I went numb down rightside, My arm felt like it had that dead feeling and I had to keep shaking it.This morning I still felt not right, and blood pressure spiked to 158/109 so decided to go into hospital. my right side of my head didnt hurt just felt like pressure.  as I was getting ready I noticed my right eyebrow and eye was drooping so immediately called an ambulance, they said they were busy and to relax and only call them if I get worse.  I fell asleep and was woken up by 999 apologising for the delay, I noticed my numbness had worn off alot, and my eye had righted itself, so I cancelled the ambulance and called 111 for advice, was put through to a nurse and after the assessment she said that I needed to get to a and e within the hour.  i am so tired, i just went to bed and then my head started to hurt so have taken two aspirins.  i dont want to drive or spend 3 hrs in a and e to be sent home with no ct scan due to my hemi migraines. My bp is starting to go down, and I just want to sleep. I cant stop wondering if I have had a stroke, and would be interested in anyones thoughts on this."
"Stroke & Tia","Post Stroke Depression  ","I had my stroke 7 years ago followed by several TIA's / Episodes. I was discharged back to my GP after the last episode. There seems little he can do other than change or add things. However, he is very reluctant to give me anything for Depression/Anxiety. ( may cause problems with Warfarin  or Phenobarbital) . I've had  counselling but that's pretty ineffective. They listen..... but don't give any answers. They're not medically trained, so cannot comment.Finally I've been referred to a Psychiatrist, I see them next week. I'm really nervous about this, what exactly do they  do?"
"Stroke & Tia","TIA or something else? Please HELP","Hi, I'm 23 years old male. Suffering from breathing difficulties and other symptoms like head rush, pressure/pain in left side of the head. The most exhausting is breathing problem that comes and goes almost everyday, it's starts slowly and from an exclusive breathlessness that stays all day , i need to take very long deep breath every time, but this make the situation more worse. I also feel something in head when this breathless start, specially the left side of my head feels squeezed or pressured and sharp pain come and goes. I can feel the heavy pulse on my neck and head, I feel very weak, muscle spasm if this breathless stay for long time. I also noticed, my breath come back to normal after taking shower but my head feels heavy and dizziness. I have seen many doctors many times they can't figure it out what's wrong. I always think that there is something wrong with me and i'm the one who have this unique situation. I'm really done with this, i'm super exhausted and i don't know what to do. No medicines seems to work. It is affecting my sleep and my performance."
"Stroke & Tia","Life after a TIA","Well, here's my story.16th January 2018, I had been having pins and needles in my right arm all day. I put this down to leaning on my desk and at work. Otherwise I felt fine.Drove home, shaking my right hand to get the feeling back (must have been leaning on the car door in a funny way.....)Made and ate dinner, still felt fine. Went to put my bowl away and dropped the spoon. For some reason I couldn't pick it up again. Dropped and broke the bowl. Went to throw the bowl away and felt ""odd"".  Wet to speak to my family and found I couldn't speak.That was terrifying. I had everything I wanted to say in my head but my mouth/voice wouldn't work. Dad went into ex-policeman mode and phoned 999. The operator talked him through some simple checks that I realised were the FACT checks for a stroke.Really scared now.My right arm was tingly and floppy. The paramedics arrived and I couldn't feel them putting the cannula into my arm (numb is good sometimes!!).Blue flashing lights and a rapid trip in an ambulance and I was in A&E. Hooked up to a load of machines and given strong aspirin. Admitted to the High Dependency unit. Following day I was told I had experienced a TIA. There was no evidence of a bleed in my brain (luckily).After a week in hospital, they found my left carotid artery was 70% blocked. so the following week I was readmitted to hospital for a carotid endarectomy.Woke up after the surgery with no pain. Again, numbness was my friend. The surgeon told me that when they opened the artery there was a large clot waiting to break off and get stuck somewhere. Luckily I got the operation in time to prevent this.After a week they took the staples out and I felt a little more normal.Now, 2 months after the ""event"" I am back at work. OK, I am working 50% from home as my energy levels are temperamental but I am getting back to normal. I am still scared this will happen again but as they have cleared the artery and put me on a pile of tablets (clopidogrel; Atorvastatin; aspirin; lansoprasole) it is unlikely to recur ( the rhs artery was clear).The only thing I do have to be careful of is that with this amount of anti-platelet medication I bruise like a ripe peach. I look a bit like I am being beaten up. Quite embarrassing for my hubby but if this is the worst I have to face then I can handle it. I have a future to look forward to (thanks to the NHS).L"
