"label","discussion_title","discussion_link","discussion"
"Urinary Tract Infection","Weird Tingling sensation in my Vagina ","https://patient.info/forums/discuss/weird-tingling-sensation-in-my-vagina-613862","This started 2-3 days ago, I've been feeling weird tingling sensation in my vagina after I pee. I doesn't burn nor do I have pain it just after I feel I have a weird sensation. I been having an urge to pee and pressure on my bladder. It feels like an orgasm but then again I don't know. I seriously need help!! I've been looking it up and the most recent study I've been seeing is UTI or yeast infection This started 2-3 days ago, I've been feeling weird tingling sensation in my vagina after I pee. I doesn't burn nor do I have pain it just after I feel I have a weird sensation. I been having an urge to pee and pressure on my bladder. It feels like an orgasm but then again I don't know. I seriously need help!! I've been looking it up and the most recent study I've been seeing is UTI or yeast infection "
"Urinary Tract Infection","How do you know if you have a kidney infection? ","https://patient.info/forums/discuss/how-do-you-know-if-you-have-a-kidney-infection--708372","can anyone tell me what the tell tale signs of kidney infection are? would it be obvious something is wrong?"
"Urinary Tract Infection","UTI","https://patient.info/forums/discuss/uti-733752","I've had the same symptoms for two weeks or better and at first it was thought to be a yeast infection so I was written a zpac and got no relieve now Im taking cipro and im 3 days in and im feeling the same.. has anyone else dealt with this?"
"Urinary Tract Infection","Constant UTI, no bacterial growth. 6+ months.","https://patient.info/forums/discuss/constant-uti-no-bacterial-growth-6-months--668548","Hi, Situation is as follows:Cystoscopy in 2015, uretha dilation because of 6 infections within 9 months. Told I have a large bladder.Infections come back every now and then until late 2017.I get generalised symptoms of frequency, stinging, kidney back pain, nausea, white cells and blood in my urine.Had a CT scan and ultrasound to see if I had kidney stones. Negative result.Fast forward to now, had 13 courses of antibiotics in 2018, have been infected with constant symptoms for last three months especially. Never have grown bacteria on my samples sent to the lab. Been banned from having sex, caffeine and alcohol which I all comply with. Got married in May and that's a bit of a bummer on our relationship ATM. I got signed off for a month and a half and am awaiting my cystoscopy on August 9th. More than anything, do other people have the pain of utis but grow no bacteria also? I don't remember a time in the last few months I haven't had white cells in my urine. Have been on amoxicillin which did nothing, trimithiprime which again, nothing and now on a daily course of nitrofuratoin. Apparently I shouldn't respond to antibiotics but they help a bit. Please tell me I'm not alone, this is so incredibly frustrating and nobody in my private life gets utis. My dad's got spongy kidneys and his mother had kidney disease but nothing relating to the bladder. From a very upset, tired and mentally drained 24 year old... thank you in advance if you respond. X"
"Urinary Tract Infection","Stubborn uti","https://patient.info/forums/discuss/stubborn-uti-733947","hi,I have just finished a course of macro bid for a uti,but hasnt helped at all.if anyone has any ideas on other treatments. thanks in advance"
"Urinary Tract Infection","I have Penis Pain only when sleeping, please what can be the cause","https://patient.info/forums/discuss/i-have-penis-pain-only-when-sleeping-please-what-can-be-the-cause-732880","I have pain in the penis only once I lie down to sleep, not burning but a pain it only comes when sleeping and very painful, please what could be the cause, I have ran urine test which proves negative of bacteria."
"Urinary Tract Infection","Need urgent help. My sperm gets watery","https://patient.info/forums/discuss/need-urgent-help-my-sperm-gets-watery-732417","i notice after contracting a uti my sperm became watery for the past two weeks, my doctor prescribe antibiotics for the uti which seemed to clear up as no symptoms are lingering but I'm really scared and concern if the uti might have affected my reproduction as my sperm is normally thick and whitish. Is this temporary? please help i cant sleep"
"Urinary Tract Infection","20 year old male with UTI?","https://patient.info/forums/discuss/20-year-old-male-with-uti--728543","So I am a 20 year old male and I think I have a UTI. I was going to the bathroom one day and it started to burn while I was going to the bathroom. I also noticed for the first time ever in my life that there was a fishy aroma. My semen today had a yellow tint to it and it never had that before. I an sexually active butt havent had sex in months so I dont think it has anything to do with that."
"Urinary Tract Infection","UTI Test kit ","https://patient.info/forums/discuss/uti-test-kit-729216","Hello! I am unsure of how to interpret the results my urine test kit have returned, would anyone please be able to offer any assistance? I apologise if this is posted in the wrong place."
"Urinary Tract Infection","I’ve had UTI symptoms for 2 months but negative diagnosis, someone help pls","https://patient.info/forums/discuss/i-ve-had-uti-symptoms-for-2-months-but-negative-diagnosis-someone-help-pls-727867","Before i explain my symptoms i would like to say that i have been tested for UTIs and STIs (both were negative).For around two months i have had the typical uti symptoms but with not as much pain. my symptoms are :cloudy urinesmelly urinediscomfort after urinating.i have been to the doctors and clinics around 4 times in the last two months and have been told that theres nothing wrong. has anyone had these symptoms before?"
