"label","discussion_title","discussion_link","discussion"
"Urticarial Rash","Weight gain with antihistamines and xolair shots","https://patient.info/forums/discuss/weight-gain-with-antihistamines-and-xolair-shots-627267","Has anyone gained weight from antihistamines and xolair shots.. I have awful joint pain, hair loss, and a rapid weight gain.. like 7 lbs in two weeks.. But the hives are a lot less but at what cost with all these drugs.. any one out there experience this?? What did you do ??"
"Urticarial Rash","My body bursts into hives if I don’t take an allergy pill every 24 hours ","https://patient.info/forums/discuss/my-body-bursts-into-hives-if-i-don-t-take-an-allergy-pill-every-24-hours-736307","I've been taking allergy pill brands Allertec and Zertec (Cetirizine) for about 6 years every single day every 24 hours. If I miss even an hour my body bursts into unbearable hives i can barely handle for 3 hours. I went to doctors to check if i was allergic to anything, only thing that came out was a slight allergy to peanuts. I have changed my diet, the fabric of my sheets, the detergent, my soaps and shampoos, its been years and i am starting yo believe maybe my body developed a dependency. I just tried using a different allergy medication that is Diphenhydramine. in hopes that counter attacks my awful hives? and nothing. pleas@e can someone help me or give me an explanation to why this is happening"
"Urticarial Rash","Going off Xolair","https://patient.info/forums/discuss/going-off-xolair-735917","Hi all..I am curious i have been on xolair almost three years.. Has anyone tried to go off of it and gotten the hives back really bad then tried the xolair again and it did not work.. I have heard this so I m afraid to go off of it.. and in fact each time i try to extend my shot the hives come back a little until i get my shot.. thanks Jana"
"Urticarial Rash","I have been suffering from Urticaria, Hives from 8 and half years. ","https://patient.info/forums/discuss/i-have-been-suffering-from-urticaria-hives-from-8-and-half-years--735697","Hi there today as usual in the morning I was covered in hives. This has been going on for 8 and half years, after I gave birth to my second child at the age 42, They started and still is no cure, as soon as they starte they are itchy I have to take a pill cetirizine, and then I have to sleep. Oh god now with this covid 19 , still dealing with no solution it is so hard for me."
"Urticarial Rash","Brittle nails & xolair","https://patient.info/forums/discuss/brittle-nails-xolair-734171","Hi, I'm curious if anyone has gotten brittles nails while doing the xolair injections?!!"
"Urticarial Rash","Finally got the hives under control...now to wean off high dosages of antihistamines","https://patient.info/forums/discuss/finally-got-the-hives-under-control-now-to-wean-off-high-dosages-of-antihistamines-731138","HelloHoping that everyone is well and also getting their hives under control. I totally understand how debilitating it is and how it affects quality of life!I am in South Africa and the cost of consultations for Allergy doctors are super high(partly covered by medical aid here), the cost of Xolair is R10000 each injection (also not covered by medical aid/insurance here) and there are limited information and even lesser support from Doctors. The individual nature of chronic urticaria makes it more difficult to manage as well.I have chronic urticaria for the last 2.5 months and only managed to get it under control for the last week by adding cimetidine 400mg at night (i mainly get them at night).My current treatment regime is as follows:2 x fexo 180mg in the morning2 x xyzal/levocetirizine at night1 x cimetidine 400mg at night1 x montelukast 10 mg at nightI would appreciate any advise on how to wean myself off these high dosages as it is super costly here in SA and the meds always make me super drowsy as well.Is it just trial an error? I am planning to slowly remove for example montelukast this Friday and see the results on Saturday.Then I would like to try swopping fexo for another antihistamine as fexo is the most expensive here (almost 3 x more expensive than the other antihistamines).Thank you. I look forward to hearing from anyone and your time and advise is much much appreciated!!!"
"Urticarial Rash","Epsom salts for Chronic Hives","https://patient.info/forums/discuss/epsom-salts-for-chronic-hives-630887","This really helped me when the hives would get really bad and itchy.. I soak for 40 mins in a warm to hot bath with 2 cups of epsom salts.. I watch the hives slowly get pale and go away.. I was shocked it works so well.. I have also had magnesium to my vitamin box.. The hives do not come back or bother me for a day or two.. I also used apple cider vinegar on them and that relieved them but then i got so many I couldnt put that much vinegar on me without smelling horrible.. but it did relieve them.. and they went away.. Now these are not cures but only ways to get thru the awful itch.."
"Urticarial Rash","Chronic Hives","https://patient.info/forums/discuss/chronic-hives-729298","So like many other patients here, I'm having a very hard time coming to terms with the chronic hives Im getting. It's been happening 8 months now. Ive gotten allergy testing and mold testing done in my apt to help rule things out. Ultimately, being diagnosed with CIU. I received my sample Xolair shot last month. No reaction, however hives only got worse (hints the photo below) Ive had every allergy med under the sun (yes even the prescriptions) and nothing works. I have to take 3 benadryl just to make the hives go down (2 does nothing). I generally wake up covered but sometimes it does happen throughout the day. Today, I had my 2nd shot and 2 hours later, my palms and feet got extremely hot, and the hives began to form on my arms. I went back to the allergist and he gave me a steroid and said we cannot be sure if my reaction is to the shot or not as its only the 2nd shot. Now, its a few hours later, Im home and breaking out and my lip is beginning to swell. It's almost like my body rejects everything. I NEVER have any breathing issues ect. but Im beginning to think, maybe this is something more serious? Has anyone had these symptoms in relation to thyroid, liver, lung diseases? Im going to tough it out to the 3rd shot but its becoming so mentally draining that its every single day. image"
"Urticarial Rash","Xolair and swollen ankles and legs","https://patient.info/forums/discuss/xolair-and-swollen-ankles-and-legs-635479","Hi Has anyone had swollen legs and ankles.. I just started getting them at night and by morning they are gone.. And I watch my salt intake closely so i know that is not it.. Could it be a xolair side effect?? Anyone else?? Thank You .."
"Urticarial Rash","Xolair","https://patient.info/forums/discuss/xolair-721892","what have peoples experiences been with this drug?i was told to expect a response maybe within 2-3 weeks after first injection, which i had exactly 2 weeks to the day!and nothing my hives are still horrific!did people find it took a while to work?i feel like this is my last hope"
